# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
99556 140821  37402 76721  20920 34053  9640 20829  
137775 250859  28987 28332  7184 12991  477 569  
127196 201689  29717 57165  12633 25017  3139 4822  
44068 80435  36497 52284  26989 39895  15003 31500  
15780 22848  14377 22363  11258 20656  12838 19223  
59862 101644  33094 65322  30474 45928  16171 28764  
13048 26309  15063 24394  10852 19908  12176 20646  
124543 234354  37111 44418  8584 10451  2623 2244  
16239 25781  14787 22674  11265 22284  11749 14615  
159122 266010  12539 23933  2482 2146  331 527  
82998 144118  42655 64130  24445 36634  14108 24772  
61270 107072  41324 66775  27286 42535  16916 26555  
15025 24532  14931 20213  13722 22446  10806 13490  
15951 24241  13630 22685  12536 18408  11716 15969  
166610 256602  7370 29595  599 4812  42 1697  
63225 113949  43958 62720  24656 44519  18687 31455  
46382 60087  34747 59821  22035 35048  18655 34651  
38817 70679  33593 57554  23659 37613  21077 33337  
102040 122686  47281 89937  14911 32197  6814 24764  
14739 27068  14625 22677  13521 21817  11570 19755  
42346 63421  37999 55510  26872 45236  19418 32526  
14537 26553  13532 23908  13160 22514  11905 19225  
32408 51825  24800 31296  19713 38849  13813 24865  
29818 38492  25479 34029  21703 30915  17336 31089  
33273 48140  24590 45255  19392 35309  17726 27657  
91290 160367  41775 71790  16936 30380  11635 16012  
75061 116044  46423 81488  25063 36303  12168 24212  
147439 244069  21869 39050  4599 7530  413 1140  
66110 101967  41685 61410  25291 44093  15526 27041  
98764 158139  41191 71396  16902 33896  10257 14679  
48923 76170  32010 54658  26123 35285  19398 33191  
40773 77559  30283 57944  29132 40830  20136 28675  
48697 78631  35326 46400  23358 45272  14910 31355  
65893 94858  41364 66712  25356 42937  13719 28344  
47264 73722  33515 56930  23718 42741  19179 30458  
84541 127010  50967 78053  20843 38361  10182 24580  
24346 42866  22258 39377  22187 34246  15778 24829  
45916 77950  36716 55742  23156 42876  13301 28896  
91836 133231  36482 59847  21871 45957  13272 24506  
118696 191175  41246 60498  9639 16966  3043 14926  
128361 204738  30001 63504  11276 17428  3231 5016  
142961 244019  22241 34313  6062 8695  2811 3892  
66985 100596  38055 70037  21483 34047  15820 21714  
70773 134725  42242 70257  25333 39606  17196 21394  
13621 18825  14539 22629  12410 15140  12084 20193  
95893 146531  41511 69615  20924 39283  9039 19548  
28992 39304  24492 36797  22282 34289  18310 32156  
134053 217218  29977 42130  6636 22020  2663 5277  
124422 152969  34540 90073  12008 31464  2459 8687  
68815 105587  38421 69257  27244 49269  15378 23562  
109167 187446  36025 66951  19273 24301  6282 8171  
16492 21896  15204 23634  13630 19400  11901 17823  
15321 19794  14161 22322  13926 22109  12052 18471  
67456 99232  39101 69431  25846 41413  14592 24704  
13877 16363  12471 19937  13891 22089  11889 18592  
32499 43423  24914 33135  20386 37440  17468 31001  
164208 268266  9278 21685  905 2069  208 723  
13800 26754  13273 24471  12545 22169  12007 19102  
129349 216280  27847 54915  12856 13396  3092 6056  
56605 63665  41171 60139  27556 51762  15197 22147  
14772 23713  14488 23893  13941 21499  10883 19383  
85011 144395  44951 69065  20421 38089  11480 22307  
33095 49195  24712 40979  21771 37026  14971 29191  
32689 46309  24018 41813  20875 37555  17818 28259  
65820 107090  38662 55049  23169 41940  17949 31575  
118053 176708  43163 73895  10139 25956  2238 11206  
82270 116153  39270 69388  25487 44363  12191 28062  
74202 125498  45239 77404  23988 38559  12666 23563  
99012 206344  48041 61437  16211 16914  7603 5589  
159247 254416  14346 32797  979 4194  37 1284  
112842 207072  41494 45698  14005 30788  4895 7148  
48856 80901  35476 47815  25578 39298  17951 30844  
16554 26338  14631 21962  11363 21946  12694 18322  
155416 270765  16830 19476  2209 2023  149 544  
44463 73293  36596 56871  22464 35896  18761 35152  
143969 224355  25560 53415  3698 9610  1132 4480  
137030 237812  30239 45403  5220 6580  1754 2328  
37815 65844  35819 62661  22569 31988  20621 32656  
14947 27042  10963 23033  13160 21439  12446 20359  
15556 23775  14327 22728  11790 13743  11172 13558  
15364 26159  14168 20822  11691 17392  12678 20583  
14009 26864  13330 24348  13848 21374  11421 20328  
59859 95695  44136 63862  25422 42269  16073 33269  
160889 238777  13112 46946  485 6510  126 574  
159420 271233  14064 19289  1033 1931  88 420  
29690 51973  26504 43937  20792 34823  18584 28939  
132786 197621  32250 62834  7051 20447  1650 4956  
112107 207368  40231 61351  16813 17334  3353 4530  
69274 128606  47531 72292  25689 42368  13457 20449  
133927 190637  30059 68810  7912 21803  1970 7180  
151072 226813  18277 51649  4020 8813  864 2566  
74114 131802  53332 76584  22961 33341  10629 18665  
70823 150476  45376 74772  32306 36278  11127 15381  
100746 178918  41737 72345  19784 22504  5997 10650  
30226 50850  27141 43960  21804 36240  15746 23749  
82952 117130  42287 72053  23102 41264  12400 27721  
102465 188266  47616 65103  16184 24643  4849 8036  
83499 121376  48761 82342  21558 47477  10228 15117  
115101 160552  44832 84025  8548 15821  3842 21454  
119718 203441  45035 66218  7840 18259  1625 3187  
93153 172150  54225 73704  15946 25651  6168 9484  
161346 256058  12469 32698  770 3361  32 722  
80063 106787  42595 79246  24042 47240  13327 25725  
147143 180468  22032 61282  4568 33278  511 8961  
16736 25552  13264 20857  11542 20846  11909 20497  
33268 45619  25685 37758  20777 28384  17247 33204  
126882 176148  40628 89296  4668 11660  1736 10340  
123909 192755  31107 66289  11836 15930  5753 10841  
15409 25502  13306 24660  12297 17765  12761 19055  
97892 179521  35434 64884  25214 25067  8133 11530  
145240 178098  24963 73318  3857 26663  376 7035  
76102 135083  46095 70177  18304 31325  15875 25510  
47868 63654  31607 54021  21189 35346  21344 36056  
67157 102468  37740 56538  23673 46772  17280 25599  
86071 158706  40923 72000  26112 34069  11115 14681  
15536 25097  15260 22584  11910 21854  12253 19584  
131548 183201  32642 74026  7717 25897  1816 5536  
59844 92947  39460 63987  24434 46822  16144 30198  
140692 230353  25007 48036  6203 10063  1971 2550  
62999 103806  39787 50253  21958 48699  16832 31510  
61996 126304  47847 69939  24639 40234  16317 24117  
85132 105725  42110 59804  24568 46051  12046 32026  
15226 24699  15338 23053  12710 22188  12490 17423  
84079 104653  49101 80653  23151 47795  8386 17923  
13015 22456  13917 24957  12544 22565  10001 15631  
30773 52607  19527 40324  22477 37032  18918 29761  
79983 101057  44790 72292  19240 29009  11721 22204  
93339 163664  37765 68512  24993 31829  9687 15006  
156274 259248  14644 26293  3150 6468  511 708  
40914 79420  35700 57669  20976 40750  20351 28966  
141462 180246  28827 85516  3712 18720  483 5605  
133110 163559  30586 64131  9354 44402  932 10886  
33675 48488  27172 40906  21377 36588  16101 25877  
139055 208561  26480 62796  7848 15665  825 4092  
48734 80923  34719 54940  25982 36058  18228 31938  
84431 141903  50325 82169  18552 25488  11454 22632  
65389 145108  53224 80400  23810 33866  16576 17793  
71939 116245  39201 76000  28953 41275  15103 26162  
15823 25634  12990 17596  13826 19036  11832 21055  
68824 119426  38985 55166  21882 40760  19328 35475  
95165 163124  43754 63269  16133 35732  10007 15994  
29706 48576  25766 44341  19666 32946  14997 21430  
69705 131775  46459 74549  23922 35994  12939 20437  
146382 239249  23976 35977  3040 13435  1050 3177  
47202 81693  40542 54624  29333 48363  18392 26858  
131600 175961  29877 75901  10072 26834  2174 7184  
98319 148501  39518 72163  16801 36497  9549 15830  
137509 235345  31503 45939  4286 9462  886 1323  
71802 149464  56196 78763  24721 32545  11974 16881  
80493 111725  39245 65607  24077 43676  12575 23696  
32836 50299  24258 44053  18390 33123  18927 29398  
49922 77032  28131 44588  25430 43736  16775 34604  
44862 77397  33774 49879  26771 38010  17698 32463  
104871 152500  39723 84723  18743 33193  6208 12234  
49307 76744  36056 56358  23756 41711  16816 31765  
91318 144684  51966 83311  19820 32565  6460 12242  
141912 207878  27891 68828  3767 12855  788 2137  
16638 25758  14417 18877  13120 22660  12575 19237  
48386 70353  36189 55945  25962 43773  17502 33193  
80790 117511  42674 73208  20554 41531  13049 24144  
68899 148570  47503 75404  21833 31896  18405 19863  
16477 21809  15255 23169  13719 20092  11105 13931  
47351 76561  27632 57163  28114 42404  19073 30909  
66715 105058  34816 63603  25928 43987  16752 24055  
75808 153135  45060 74656  26421 35038  14773 16234  
101274 133886  33612 68634  22240 42571  11656 28740  
44124 79862  34236 49977  22725 43947  20363 32603  
149766 203993  19495 58846  4476 20369  752 7560  
91407 142037  42502 68328  22302 44173  10249 18590  
142790 230868  24056 49246  6151 9331  1331 2548  
75841 118257  39631 77590  28491 42018  13705 22528  
72350 131346  50109 76853  21111 30189  12148 21632  
82025 127752  43572 74728  20358 41595  13449 21787  
101191 116725  43474 95594  17309 32259  6815 20734  
28761 46919  24092 43804  21748 36117  14904 29204  
63387 129970  51649 74113  20859 36681  17603 23768  
32050 48891  27492 42263  21654 32380  17472 25220  
145094 214345  20461 57641  6777 11999  1488 3506  
33682 48699  25208 41161  22159 35466  16129 30785  
122922 174410  38948 83881  8532 17434  2791 7830  
83097 116199  36270 56877  25677 42539  13324 29369  
122712 210321  39687 56853  9171 17371  1925 4408  
72525 110718  43622 71402  26917 41916  13014 19265  
98966 147359  36919 52186  22026 42175  9608 26091  
55313 63643  39331 63898  27070 41052  16917 28967  
149684 216243  23591 58220  1263 14780  42 2855  
142328 244791  25423 36113  4866 8712  1727 2388  
132194 176102  32095 80847  6774 16191  2638 13956  
81601 121748  40683 70612  20716 25260  14032 31962  
59894 96585  40135 61016  28213 48975  17771 29765  
16350 24256  15152 21888  13508 19461  9693 18778  
65554 110813  42783 74832  25187 34253  15799 29391  
46423 80788  26999 55606  24791 42835  21997 27608  
