# NumberOfHospitals NumberOfScenarios TimeHorizon
2 200 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
99556 140821  37402 76721  20920 34053  9640 20829  
137775 250859  28987 28332  7184 12991  477 569  
127196 201689  29717 57165  12633 25017  3139 4822  
44068 80435  36497 52284  26989 39895  15003 31500  
15780 22848  14377 22363  11258 20656  12838 19223  
59862 101644  33094 65322  30474 45928  16171 28764  
13048 26309  15063 24394  10852 19908  12176 20646  
124543 234354  37111 44418  8584 10451  2623 2244  
16239 25781  14787 22674  11265 22284  11749 14615  
159122 266010  12539 23933  2482 2146  331 527  
82998 144118  42655 64130  24445 36634  14108 24772  
61270 107072  41324 66775  27286 42535  16916 26555  
15025 24532  14931 20213  13722 22446  10806 13490  
15951 24241  13630 22685  12536 18408  11716 15969  
166610 256602  7370 29595  599 4812  42 1697  
63225 113949  43958 62720  24656 44519  18687 31455  
46382 60087  34747 59821  22035 35048  18655 34651  
38817 70679  33593 57554  23659 37613  21077 33337  
102040 122686  47281 89937  14911 32197  6814 24764  
14739 27068  14625 22677  13521 21817  11570 19755  
42346 63421  37999 55510  26872 45236  19418 32526  
14537 26553  13532 23908  13160 22514  11905 19225  
32408 51825  24800 31296  19713 38849  13813 24865  
29818 38492  25479 34029  21703 30915  17336 31089  
33273 48140  24590 45255  19392 35309  17726 27657  
91290 160367  41775 71790  16936 30380  11635 16012  
75061 116044  46423 81488  25063 36303  12168 24212  
147439 244069  21869 39050  4599 7530  413 1140  
66110 101967  41685 61410  25291 44093  15526 27041  
98764 158139  41191 71396  16902 33896  10257 14679  
48923 76170  32010 54658  26123 35285  19398 33191  
40773 77559  30283 57944  29132 40830  20136 28675  
48697 78631  35326 46400  23358 45272  14910 31355  
65893 94858  41364 66712  25356 42937  13719 28344  
47264 73722  33515 56930  23718 42741  19179 30458  
84541 127010  50967 78053  20843 38361  10182 24580  
24346 42866  22258 39377  22187 34246  15778 24829  
45916 77950  36716 55742  23156 42876  13301 28896  
91836 133231  36482 59847  21871 45957  13272 24506  
118696 191175  41246 60498  9639 16966  3043 14926  
128361 204738  30001 63504  11276 17428  3231 5016  
142961 244019  22241 34313  6062 8695  2811 3892  
66985 100596  38055 70037  21483 34047  15820 21714  
70773 134725  42242 70257  25333 39606  17196 21394  
13621 18825  14539 22629  12410 15140  12084 20193  
95893 146531  41511 69615  20924 39283  9039 19548  
28992 39304  24492 36797  22282 34289  18310 32156  
134053 217218  29977 42130  6636 22020  2663 5277  
124422 152969  34540 90073  12008 31464  2459 8687  
68815 105587  38421 69257  27244 49269  15378 23562  
109167 187446  36025 66951  19273 24301  6282 8171  
16492 21896  15204 23634  13630 19400  11901 17823  
15321 19794  14161 22322  13926 22109  12052 18471  
67456 99232  39101 69431  25846 41413  14592 24704  
13877 16363  12471 19937  13891 22089  11889 18592  
32499 43423  24914 33135  20386 37440  17468 31001  
164208 268266  9278 21685  905 2069  208 723  
13800 26754  13273 24471  12545 22169  12007 19102  
129349 216280  27847 54915  12856 13396  3092 6056  
56605 63665  41171 60139  27556 51762  15197 22147  
14772 23713  14488 23893  13941 21499  10883 19383  
85011 144395  44951 69065  20421 38089  11480 22307  
33095 49195  24712 40979  21771 37026  14971 29191  
32689 46309  24018 41813  20875 37555  17818 28259  
65820 107090  38662 55049  23169 41940  17949 31575  
118053 176708  43163 73895  10139 25956  2238 11206  
82270 116153  39270 69388  25487 44363  12191 28062  
74202 125498  45239 77404  23988 38559  12666 23563  
99012 206344  48041 61437  16211 16914  7603 5589  
159247 254416  14346 32797  979 4194  37 1284  
112842 207072  41494 45698  14005 30788  4895 7148  
48856 80901  35476 47815  25578 39298  17951 30844  
16554 26338  14631 21962  11363 21946  12694 18322  
155416 270765  16830 19476  2209 2023  149 544  
44463 73293  36596 56871  22464 35896  18761 35152  
143969 224355  25560 53415  3698 9610  1132 4480  
137030 237812  30239 45403  5220 6580  1754 2328  
37815 65844  35819 62661  22569 31988  20621 32656  
14947 27042  10963 23033  13160 21439  12446 20359  
15556 23775  14327 22728  11790 13743  11172 13558  
15364 26159  14168 20822  11691 17392  12678 20583  
14009 26864  13330 24348  13848 21374  11421 20328  
59859 95695  44136 63862  25422 42269  16073 33269  
160889 238777  13112 46946  485 6510  126 574  
159420 271233  14064 19289  1033 1931  88 420  
29690 51973  26504 43937  20792 34823  18584 28939  
132786 197621  32250 62834  7051 20447  1650 4956  
112107 207368  40231 61351  16813 17334  3353 4530  
69274 128606  47531 72292  25689 42368  13457 20449  
133927 190637  30059 68810  7912 21803  1970 7180  
151072 226813  18277 51649  4020 8813  864 2566  
74114 131802  53332 76584  22961 33341  10629 18665  
70823 150476  45376 74772  32306 36278  11127 15381  
