# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40889 22226  17420 8145  9215 4861  4105 2732  
43680 25551  17894 9440  8725 3645  3567 1147  
6475 3835  6113 3281  5550 2935  5151 2890  
47757 25624  15746 8252  8141 4332  3112 1459  
59473 31485  12033 5771  4331 2723  660 278  
13339 7198  10949 6369  8890 4818  7681 4183  
37287 20324  19940 10598  9323 4825  4958 2656  
19412 11643  14060 8202  11246 5233  7377 4179  
10512 6334  9383 5622  10000 5207  7560 4164  
43701 25956  19591 9709  7811 2839  2959 1249  
30718 18781  18354 8623  10635 5301  6866 3286  
41153 20784  16320 9511  10154 5241  6184 3496  
13301 7600  10220 5996  8718 4002  7688 3985  
47352 25521  16710 7997  6695 3550  2598 1590  
51791 23649  19142 13910  3103 2029  1499 520  
39780 21170  18632 9454  9494 5053  4466 2365  
39715 22114  19531 10327  8644 4578  4702 1912  
12158 7211  10850 6331  8394 4720  7803 3717  
32130 15907  18779 9828  10970 6187  6279 3773  
60767 31625  10719 6675  3406 1836  1034 250  
31792 15726  18418 10366  9048 4680  7224 4408  
27169 14510  16864 8584  10523 6284  6527 2837  
25509 13788  17094 10035  10588 4940  7991 4470  
48432 24137  19426 10599  5763 3528  2170 1504  
18580 11447  12422 7396  11893 5628  8399 4566  
18267 8816  13565 6383  10289 5928  8574 4442  
31116 18294  18261 10153  10978 5729  7041 3019  
28487 13080  20222 12293  9499 5099  6596 4363  
49833 27053  16305 9963  6756 2290  1712 630  
15559 10037  15151 7697  10067 5714  8840 4553  
63430 34215  9784 5093  1871 852  1718 285  
51233 24988  16595 11333  5822 3153  1895 660  
61588 29623  9566 9026  4837 1644  763 175  
25213 14668  15820 7701  12257 6232  6324 2912  
45203 26758  16967 8103  7205 3545  4211 1391  
45722 25906  15320 7025  8576 4588  5441 2174  
29714 16662  15592 9016  11793 6304  5732 2801  
22315 11644  18351 10853  11996 6560  6479 2953  
60351 31637  10679 5355  4572 3044  1030 354  
67878 36209  6977 4063  1493 196  360 13  
18506 8724  14907 8486  11505 6320  8415 4672  
19229 9859  15204 8217  10590 5562  8184 4295  
13367 7611  8865 5295  9709 5027  7479 3482  
27030 15423  16032 9142  11010 5169  8037 3919  
37693 24428  17189 8204  9162 4195  4054 1774  
40803 21626  16811 8015  9533 5061  4045 2214  
27237 14433  16202 8597  11325 6673  7608 3781  
44940 27082  19412 8117  6932 3155  3224 1425  
10645 6571  10926 5447  9777 5307  7949 4315  
47032 24453  16486 8481  7648 4793  3473 1703  
67182 36853  7061 2833  2374 567  222 157  
62892 30255  11467 8264  2073 1494  304 365  
45176 25994  18715 9420  7830 3373  2687 825  
33810 16289  19415 11025  10016 5126  6545 4279  
6162 2945  6263 3450  5324 2595  4737 2556  
44156 26085  18318 9400  8506 3090  3491 1274  
32504 16150  16160 8186  10553 6353  7059 4636  
53312 30702  18078 8326  3384 1053  1389 310  
6064 3383  5785 3232  5637 3077  5232 2781  
19911 10103  14785 7941  9878 4695  8331 5079  
18255 10728  12902 6309  9861 4784  7666 4726  
12874 6309  11120 6271  8927 5266  7499 3833  
31314 16472  16793 10753  12820 6207  6808 3101  
13112 6778  10941 6379  8367 4027  6993 4105  
12825 6406  10522 6119  8593 4327  7754 4415  
55475 27455  15229 8845  3386 2493  1399 1326  
64899 32465  9713 6379  1753 1207  465 316  
20381 10847  14746 8331  10345 5978  7645 3736  
51436 29144  16924 7725  5749 2754  1683 577  
6266 3816  6127 3500  5659 3037  4227 2597  
41363 26972  21743 8465  8050 3594  3198 938  
55632 26290  12948 8528  3917 3293  3007 1598  
6368 3183  6041 3053  5121 2757  4685 2759  
6061 3415  6145 3121  5662 3218  3503 2312  
18782 9630  11503 6347  11476 6392  9115 4625  
5160 3225  5568 3269  5173 2883  4911 2555  
29449 19487  20705 9964  12338 5912  5832 2550  
22627 12079  16458 9077  12991 6206  7268 4303  
46970 27501  20059 8135  6232 3294  2425 1090  
6521 3866  4832 2996  5605 2949  5085 2628  
12816 7722  9723 5625  8898 4995  8002 4071  
16528 8643  12976 7100  8950 4489  8303 4415  
38337 20582  17337 10657  8061 4366  4997 2304  
38289 22350  19591 10227  9179 4402  5098 1838  
16144 8108  15819 8600  11952 6584  7854 4044  
62187 37571  9870 2167  3332 599  1170 132  
31380 18176  18630 9113  9743 5461  6493 3076  
5006 3243  4886 3087  5147 3072  5282 2793  
15830 9512  11767 6206  11286 5488  8774 5025  
42568 24571  17347 9853  8571 3861  4908 1401  
57047 33960  13688 5450  4133 898  1125 123  
6261 3394  6244 3483  4498 2485  5082 2964  
64369 33637  8080 5814  1909 824  1541 158  
22716 11471  17230 10510  12137 5844  7317 3744  
6473 3825  6080 3396  5365 2945  5111 2892  
6466 3453  6223 3376  5057 2938  5224 2867  
57658 28893  14161 8222  3390 2013  1322 1106  
43972 23844  15880 10203  8896 3722  3958 1489  
52131 29062  19017 8460  3811 1735  1191 705  
13077 7534  11061 5576  9334 4999  7589 4249  
58792 34393  13062 5536  3866 484  1016 67  
54711 29668  13062 6688  5358 2605  2558 1178  
66715 34056  8344 5990  1192 354  351 59  
18322 8838  15352 8440  10427 6159  7499 4508  
39681 23191  19290 9617  9233 3863  4400 1983  
39695 22146  23148 11246  7961 4115  2389 1464  
48499 24724  16473 10754  8775 3690  1976 858  
19148 9764  15154 8181  10267 5593  8482 4733  
44048 21680  20010 11448  6927 3632  3558 2464  
58806 32353  9746 4740  6004 2524  1213 475  
43699 23468  18754 10962  7930 4036  3324 1247  
43671 21508  21154 11933  6488 4676  3381 1576  
10891 4848  11410 6104  8399 4148  6907 3669  
6515 3565  6104 3317  5306 2591  5212 2869  
38549 21938  19577 9411  9676 4467  4591 2233  
50432 26434  17090 10338  5140 2470  2537 912  
47211 25494  16457 8314  7439 3577  2667 1552  
39319 23325  19860 9256  8341 3869  4806 2126  
54411 30587  13714 5675  6097 3150  1828 801  
43692 27570  24203 10344  5549 1873  2094 515  
25491 14773  14233 6503  9705 5922  8438 4579  
40261 21696  23124 13487  9016 3300  2726 1296  
38339 19298  18937 10352  7676 4167  5120 3088  
49274 29545  15169 7298  7974 2656  3096 629  
18224 9851  14365 6768  11694 6488  7931 3975  
6163 3129  6228 3504  5287 2859  4966 2465  
42156 25824  22457 10574  8379 2897  2344 797  
6668 3876  5675 3258  5637 2868  4960 2844  
5150 2611  5870 3414  5005 2365  4385 2452  
22938 12636  17094 8502  12968 6590  7756 4794  
21804 9656  17234 9974  10966 6348  8089 4805  
44379 26744  18860 9157  8286 3023  3292 1014  
44781 22587  18410 9819  6445 3787  4256 2824  
58202 34961  14522 4734  3068 650  692 96  
50223 24232  17732 10812  5778 3479  1474 998  
42795 21725  19562 9810  7872 4692  2686 1768  
42373 20494  18143 9282  8148 4760  4990 3657  
44951 25952  19444 9258  7311 3035  2978 1354  
4940 3275  6053 3450  4186 2599  4752 2791  
67192 34645  7195 3711  1586 1320  821 762  
17366 10019  14711 8265  11654 5982  8390 3862  
37926 22080  17074 9405  11419 5175  5328 1787  
47405 26570  18243 8970  6721 2990  2714 1305  
17043 10922  14735 8294  11987 5948  8777 4158  
46695 26612  18026 9218  7331 2825  2696 1013  
63340 32255  9110 7101  3546 1065  447 42  
43229 26264  14542 7907  11213 4139  4446 1439  
24908 14669  15070 7104  11340 6162  7825 4148  
18798 9411  14114 7785  10929 6015  7524 4075  
9985 5915  10948 5978  8956 4453  7571 3722  
66276 34100  6774 4442  2321 1738  1255 177  
6526 3641  5977 3361  4574 2326  4519 2184  
6298 3864  5888 3109  5045 3061  5092 2917  
17138 7927  15721 8912  11300 6577  8352 4291  
42480 26044  17548 8555  11601 4168  3502 1098  
12471 6289  10292 6286  9354 4891  7517 3734  
12664 6840  11425 6231  8276 4881  7695 4298  
6286 3383  6171 3328  5510 3069  4609 2239  
13157 7608  10370 4928  8007 4687  6991 3794  
13626 7572  10180 6226  8956 4228  6812 3293  
67950 37327  6646 2540  1905 504  378 106  
5488 2437  6059 3105  5046 2585  4836 2777  
49219 28630  19268 8917  4830 2158  2122 569  
32005 19226  18401 10117  10911 5284  5917 2252  
49655 26094  16558 9252  5357 3192  2535 1188  
26227 13258  17471 9847  10688 5287  7609 4269  
29950 16962  19763 10224  9226 4403  5902 3469  
40982 20016  20190 11874  8341 5620  3526 1560  
43825 25741  20090 9877  7984 3145  2378 844  
13318 6928  10727 6437  8581 4325  7400 4320  
54711 29579  15443 8103  4456 1794  1181 685  
55313 29341  17604 8860  3081 1807  589 292  
45657 22802  18541 11017  6346 2864  3284 1784  
46571 24230  16172 8737  8102 4443  3308 1664  
30994 15914  18017 8825  11823 7521  6526 3902  
39283 22429  19117 9428  9590 4908  4579 1934  
57550 28682  13319 8344  4170 2028  1309 959  
31660 20716  18393 10127  10712 4278  5732 2271  
44689 21724  19713 12036  6598 3648  3263 1556  
30303 15932  14917 8749  13643 6949  7651 4072  
42554 20521  20512 11536  7760 4582  2899 1768  
67950 35812  7104 3847  1036 703  363 81  
20160 11248  14850 7763  10431 5251  8024 4439  
47369 26833  15789 7847  7033 3654  3932 1431  
32315 16328  19409 10799  9501 5128  6755 3709  
33925 18379  17984 9440  9956 5865  6037 2940  
55828 26919  12932 7507  6302 5105  1362 639  
35319 18942  19008 9705  11278 6549  5348 2951  
46657 27657  16547 8557  6968 2575  4073 1087  
6802 3593  5928 3233  4716 2147  5066 2682  
45212 24270  18850 9105  7753 4327  2579 1540  
11922 5720  11441 6144  8385 4013  7965 4396  
47122 27009  16982 7641  7098 3589  3324 1418  
25860 14366  16233 9861  10426 5571  7202 3854  
26971 15448  14964 7766  12179 6594  7381 3795  
18835 9635  14721 8711  10801 6259  7440 3987  
51781 27789  13390 9339  10083 2610  960 454  
22599 14310  18178 9952  10162 4713  8633 4349  
53443 28993  12217 6603  7809 3625  2518 879  
27906 15060  20446 11054  10278 4862  5824 2988  
5486 2992  5786 3289  5121 2659  3734 1836  
5395 3196  4611 2877  4769 2904  4590 2163  
20492 10993  14181 8308  9350 5493  7556 3386  
32019 15610  18867 10890  10845 6073  5832 2759  
32012 17110  22614 11632  9049 4874  5710 3306  
27059 14135  16929 9680  11464 6019  6735 3976  
36051 16648  18855 10244  9456 5933  4895 3261  
37729 23195  20791 9629  8323 3967  5125 2065  
27353 15087  14931 8149  11506 5387  7453 3556  
65264 32451  9247 7584  1337 372  632 53  
53248 27735  14347 7067  6383 3925  1696 935  
23871 14721  17700 8803  12471 6435  8003 3904  
36642 17338  18309 9533  10599 6233  5465 3342  
37148 22414  20540 9571  9737 4414  3639 2026  
20106 11030  14232 7729  11039 6224  7940 4013  
18097 8672  13244 7615  11800 6136  8346 4386  
6401 3733  5780 3423  5621 2899  5187 2678  
47423 23930  20369 11984  5325 3143  2660 1077  
12305 7554  11383 5930  8356 4869  7754 4209  
26797 14009  16230 9566  11616 6943  8678 4241  
48973 29197  15343 6963  9012 3281  1633 581  
62884 32563  12082 7199  1294 521  405 171  
31563 16021  17628 10272  12221 5851  6851 4156  
19839 11490  14747 8337  9699 5550  8634 4257  
24958 14371  16256 8954  10979 6322  8883 3987  
20417 10810  13365 6876  10854 5575  7256 4142  
28929 16202  18609 10724  10970 4902  6643 3289  
39880 20397  18339 11429  9332 4887  4664 1786  
35567 16295  20998 12199  9911 5585  4325 2758  
49889 33096  14072 5330  6133 1319  3692 538  
42245 19559  21194 13648  7657 3967  3209 1741  
30554 18956  16791 9466  12378 5349  6613 2893  
38625 22695  17463 8539  9138 4267  6392 2646  
30939 19227  18540 9760  11223 5081  6686 2713  
13205 7370  10481 5924  9190 4504  7597 3781  
40253 23229  16838 9083  10340 4576  4785 2066  
55823 34316  13995 4734  5286 1221  1469 176  
40977 25047  18650 8314  8877 4412  4926 1825  
