# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  18674 9118  
40918 19607  16711 10177  
41074 22387  18318 8985  
54026 33467  19715 6765  
34967 21620  24831 12478  
48590 22781  18689 11390  
33954 21809  22903 11880  
10036 5218  9871 5484  
33271 22386  22959 9980  
43026 20224  20681 13386  
6795 3827  5993 3107  
48643 22666  18937 11953  
38038 22402  18497 10733  
6617 3840  5662 3345  
30029 16405  18651 9744  
54353 29036  13008 6372  
40237 20743  16627 8082  
26439 15416  15984 9257  
6661 3826  6007 3491  
24615 12337  17530 8888  
47880 25895  17715 9610  
19394 9616  13835 8255  
59526 30165  12777 8180  
66321 36174  4071 2309  
18333 8804  15206 8295  
33593 17362  18027 9615  
51524 25311  15007 8543  
31146 17926  19500 10591  
5835 2679  6193 3282  
46925 24581  18069 10622  
18681 10066  15336 8629  
48923 30268  19748 7769  
12103 5691  11191 5889  
22506 12923  16953 8528  
6079 3070  6052 3431  
12232 6118  8361 4198  
32753 17229  23092 12248  
44694 26869  18292 8567  
12593 7572  7959 5222  
58564 29543  15256 9840  
11789 7412  8268 5071  
5957 3296  5780 2914  
57115 27608  14829 9667  
17083 10516  15503 8412  
43715 25619  19576 10778  
49445 28012  17089 9387  
11052 6352  10563 5881  
46937 26274  21229 9456  
40947 23779  17853 9205  
5847 3095  5651 2669  
32021 17679  21185 12154  
39950 21118  18930 10385  
20068 11414  13654 8071  
39566 22983  17784 9632  
6113 3347  6160 3170  
23402 14481  15422 8332  
39873 21437  19617 10620  
30447 14978  18083 9686  
35207 16107  19619 10561  
11850 6793  10799 5416  
44544 23217  15866 10897  
13656 7516  11021 5823  
6653 3646  5526 2574  
6482 3408  5394 3243  
47433 25341  17683 9397  
36338 20548  24903 12245  
24081 14126  18590 9572  
51797 26286  14891 9920  
45536 25410  18190 10004  
61435 32357  8393 4438  
17476 12141  20303 10559  
11652 5305  10745 6066  
44055 21148  19464 11948  
37458 19489  19028 9006  
55572 31488  15807 7649  
43746 26009  19236 9714  
39698 20450  19280 10684  
39769 22377  17336 9642  
68273 38003  7317 2109  
13354 7136  10758 5513  
23844 14304  16545 9383  
58083 29640  14252 7895  
46364 27098  18136 8381  
36574 18885  22686 10856  
57804 28794  14971 9578  
44154 22528  17923 8730  
40089 20745  17694 10536  
61083 32420  11772 5975  
62754 30194  10368 8063  
35381 19265  21605 11016  
19798 11210  14865 8204  
6190 3647  4453 2448  
45118 25061  16522 8165  
4825 2612  5939 3260  
6372 3101  5642 2768  
58112 26315  11666 9942  
17956 10828  13192 7535  
20362 10742  13333 6250  
5181 2961  6293 3491  
19227 10630  15295 8266  
6743 3528  6181 3359  
6548 3288  6185 3260  
26460 13173  21243 10796  
19327 10415  13855 7984  
6574 3407  4956 2980  
54656 29654  13905 6671  
25181 12231  14358 7480  
6247 3022  6277 3429  
11097 6028  10156 5145  
28450 18562  19693 9122  
46439 26886  18450 8310  
32917 17538  19083 10959  
19663 11238  13782 7175  
32361 15941  19299 11524  
45365 23244  19197 10905  
5988 2975  5881 3415  
12032 6258  11082 6448  
25916 13116  17050 9549  
52108 30433  18825 7518  
31708 19134  18079 8848  
40562 25550  19822 9150  
33961 17973  16781 8320  
56774 33077  12034 5806  
6809 3644  5550 2598  
6544 3866  6160 3184  
43975 21087  18818 11067  
12846 6804  10572 5508  
47414 26883  17182 7871  
39814 22796  18354 10009  
26500 14023  16584 8797  
57972 34478  12619 4277  
20371 10839  13767 7350  
5754 3503  6288 3388  
11244 6180  9512 5970  
24495 13987  18330 9605  
33886 17788  18549 9660  
12734 7486  11017 6331  
43864 22839  19186 12164  
18748 9139  15337 8872  
62881 36247  8129 3538  
13010 7769  11243 6181  
50183 26701  18507 9945  
64849 38737  8890 1494  
41514 24332  20002 9878  
6472 3290  5264 2772  
61111 33087  10432 4554  
42963 25399  19895 9976  
32914 18834  17891 7956  
43055 25175  17682 8084  
67829 35697  7181 3500  
6686 3559  5679 2742  
5072 2577  4376 2187  
34761 20035  24562 13191  
32490 18482  19394 10491  
19133 11559  15207 7609  
63021 37875  11441 2511  
26966 14204  17199 9383  
31950 17423  19583 10940  
6719 3486  5432 2522  
31153 15995  19343 9852  
54047 31876  14273 6652  
19991 11616  15096 7875  
12204 7472  8331 4533  
36821 21568  19346 9257  
6462 3216  6022 3079  
25641 15492  18053 9198  
9658 6126  10203 6125  
18925 10686  14666 8578  
51057 26588  14711 9993  
6172 2917  5571 2624  
37921 20160  17998 9509  
68197 37804  6988 1971  
38573 24547  22387 9830  
63875 38782  10222 1466  
18643 9923  15349 8336  
18301 11373  14496 7807  
28508 19039  19232 9916  
12672 7229  10100 4709  
4916 3227  5885 3531  
36965 18001  18404 10376  
19255 10077  15053 7928  
52779 29265  12016 5442  
51500 28089  16377 7751  
20236 11436  13572 6947  
12649 6691  10984 5581  
31903 17590  19097 9305  
47967 30041  21212 8610  
5077 3350  4519 2916  
6148 2940  6046 3128  
45109 26654  16355 7061  
52042 27314  20218 10502  
58307 30331  14797 8213  
39375 22363  17840 9566  
26253 15157  17133 8526  
13290 7663  9713 5695  
18636 12450  16508 9842  
33699 17495  18110 9583  
38301 23256  20046 9078  
61926 32769  10550 5767  
49638 25508  16989 10836  
52144 29588  16854 8353  
54698 29573  14315 7421  
55648 26691  15572 11360  
13442 7429  9893 5403  
61609 29112  9851 7480  
26432 14854  14601 7676  
18355 9072  11338 6515  
9950 4889  9535 5785  
46915 24282  18191 9837  
33873 19212  17652 10086  
13406 6897  10484 5185  
40273 22115  19129 9921  
5515 3552  6073 3475  
60640 36160  11856 3850  
33711 19246  18485 10090  
20217 10534  14264 8485  
44517 26782  18361 8263  
17753 9404  12857 7962  
56975 27920  15408 10799  
19934 11515  15050 8122  
23679 13514  18672 10282  
13685 7425  9502 5670  
52341 26084  14330 7718  
53285 27639  14667 7634  
12408 7098  10003 6199  
6584 3349  6013 3302  
12886 7661  10962 6050  
26950 16293  19431 10240  
27085 14193  17170 10033  
10650 6576  7439 5079  
13498 7340  10032 5667  
55934 27068  11544 8068  
