# NumberOfHospitals NumberOfScenarios TimeHorizon
3 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  11147 11979 5793  4208 6045 2353  
8208 10258 3925  6377 8384 3379  5041 5895 2431  
12319 12787 6402  8640 7297 3892  5562 4825 2388  
22688 17488 10545  7684 13091 4352  3467 5676 1560  
26103 31768 11923  9064 6111 4277  406 1538 432  
14662 17733 7097  7811 10387 4419  6049 5010 2703  
26918 17885 11141  6690 12109 4367  1729 7168 1321  
13652 10531 6054  7581 10811 4163  4979 5491 2557  
10002 8649 4232  7303 6078 3424  5011 6866 2694  
21547 25592 10684  8361 8627 4265  3084 4026 1228  
31613 35832 15267  4191 3226 1882  79 1251 87  
29459 20955 13193  5393 15058 3510  903 2598 410  
