# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
70559 49370  39871 19179  28511 13725  13942 5651  6739 2409  
38900 23257  30278 17689  23106 14318  20497 10406  14259 7580  
91502 45614  41268 25892  17320 7471  7381 6028  6162 3919  
115006 65063  36828 20913  9669 5160  3962 870  1579 230  
38330 24033  31319 16086  23253 12691  20421 11053  14168 8191  
75839 41834  49735 27883  21047 12364  10883 5821  4330 2331  
134460 78222  27516 11574  5414 1994  1236 445  276 61  
125291 48597  34661 32839  5609 5826  2211 3169  853 1456  
81541 60271  54520 20812  19090 7540  8266 2443  2963 840  
71275 44338  44462 21240  22883 12788  13857 6010  7418 3159  
77455 40941  37917 18862  21701 15566  12359 8133  8519 3865  
53206 33033  40389 22607  20456 12130  17865 8451  11295 4551  
83516 60199  33361 19130  31485 8420  12902 3015  4656 979  
49618 29049  32372 22083  20784 14081  20156 7730  14840 7044  
92779 46975  35762 22812  19841 10910  8595 5158  5398 2875  
12236 8353  14056 7786  12566 6525  9687 6067  10966 5739  
38458 25956  35948 17367  18080 12603  18699 10503  13643 6716  
117172 78956  42370 11030  5783 1658  2378 491  1026 163  
116599 72684  36445 17552  7531 1516  5519 485  2483 88  
89463 45396  42219 21168  18402 10642  8240 7350  4397 2530  
12664 8164  11523 7907  12246 6498  12038 5940  9089 5823  
153655 73710  13143 17251  1595 924  489 314  91 103  
35712 24972  35279 19078  20411 13403  18456 9918  12755 7069  
120514 79730  30801 9528  13813 2566  2728 429  816 68  
117334 68638  30425 14299  13435 7137  5683 1632  1530 392  
113241 46849  33091 19761  12386 13485  7086 8514  1679 2391  
77501 38973  38646 19596  21964 12319  13446 9443  7698 4776  
15359 7963  13669 6290  12736 7066  11081 4899  9610 5928  
148626 66286  17209 19956  1984 3687  600 1752  235 375  
43175 20288  33393 20116  21176 11049  19068 9146  13157 6645  
82028 51018  42117 23236  23344 10139  11748 4057  4937 2138  
28680 13832  23084 14782  20940 9922  17210 8201  13512 8638  
126495 67086  33420 20574  3972 2733  4216 1491  633 376  
112976 69370  29852 15058  18982 5051  4738 1709  1384 710  
88541 52788  43213 18925  19819 11032  8357 5535  4878 1969  
128471 71836  31710 16250  5891 2725  2247 1110  434 316  
100517 54265  43440 22629  14761 8037  5382 4790  2446 1397  
64049 40035  45555 22762  23504 12497  15331 8159  8390 4227  
14595 7825  14144 7408  12630 6499  11515 5503  10393 5054  
41968 25317  32675 17079  23394 11434  16942 8501  12200 8337  
56836 33796  37106 17187  27211 14313  14472 8765  11022 7034  
123102 67478  32760 18447  8604 4236  3193 1619  919 371  
124067 79418  31984 9175  10196 3154  1719 508  773 55  
27620 10643  25172 12639  20763 12258  16812 8885  14218 7886  
141173 87975  24570 4078  2851 214  267 50  61 13  
112837 57781  34172 23860  13743 7985  6135 1961  1174 490  
100706 41994  38268 27946  17647 13014  7303 4802  2833 2509  
109470 81547  50405 9695  6316 985  1784 100  737 11  
73811 36197  40434 18009  21911 17770  14716 9324  8193 4673  
98331 61375  31931 19870  21738 6988  9891 2268  3639 1211  
66480 49151  41689 23257  32526 10991  9966 4443  7538 2472  
116853 78782  34631 11145  9826 1955  5923 381  1064 61  
30419 15497  24010 14217  20326 11576  14398 8686  11612 7568  
25135 17342  26053 13612  21014 10908  15631 9704  11733 7164  
105321 60318  39709 16621  12225 10193  7445 3214  2478 1324  
58766 28743  37624 16779  22317 14549  17868 10211  10131 5863  
102946 44570  40951 26304  14487 10597  5876 6111  2078 1819  
88800 38883  40370 22675  20655 14554  9546 7253  4737 3911  
105284 63733  43860 21488  13161 4172  3533 2119  2169 583  
60869 28395  34141 19557  26018 16287  16712 9282  10390 5081  
154619 76308  12161 14158  1794 1715  391 135  21 21  
105965 59509  34809 19243  17213 8769  5505 3015  2807 1042  
76422 36747  40688 25914  23168 12105  12847 7473  6457 4010  
127762 82484  26578 6519  10799 3160  1981 125  836 33  
15120 8481  11762 7997  12755 7047  10651 6277  10534 4555  
10651 8334  11925 7325  11533 7252  9531 6525  10578 5971  
125228 75087  31754 11779  7497 3177  3692 1965  488 194  
42620 19725  32999 17282  23238 14924  15438 8994  14824 7760  
56231 29382  35531 23826  27566 13657  17886 9358  11532 5872  
59508 29289  36090 19848  24668 10732  13325 9593  12146 7423  
85414 48418  41582 17778  21235 14978  11124 5462  4408 2136  
14916 8727  10564 7634  10421 7190  11052 6511  10583 5918  
15098 7341  13004 5957  11613 5633  9235 5748  10699 6339  
113231 52627  32868 16822  15431 14478  3605 4707  1711 1767  
76132 39099  41088 20286  19888 14167  12683 9030  7964 4662  
30796 16347  24939 11801  18753 11343  14476 10107  13315 5333  
29332 17638  21728 14227  19791 9689  16297 9428  14226 7875  
28605 17743  24836 12406  18234 11489  17725 8743  13027 8049  
135764 83643  28790 7113  3811 1548  504 41  91 0  
103884 61325  31676 18603  20622 8131  6418 2773  3410 765  
75484 40951  42328 23512  22927 11770  11349 7516  6860 4117  
104724 57952  35357 22640  17567 5830  6416 3995  2949 1199  
135076 78451  21316 11792  10390 1508  1601 497  424 59  
49144 28918  37053 22429  26212 15667  18892 9341  11294 4947  
13603 7415  13883 6872  11692 7101  10905 6246  9703 6041  
29106 14594  25212 13325  20073 8984  16609 8321  14233 8214  
118692 71282  33766 15701  12390 4634  2287 482  1434 193  
101701 55131  47720 22709  12799 10224  3145 2695  2290 1089  
154719 82811  11915 7667  2100 1655  205 188  45 17  
80421 41797  47163 23232  18968 14074  11071 7055  4580 2720  
91548 43372  40760 22462  18981 11619  8387 6005  4419 3535  
58268 35058  40011 21173  21840 13222  14122 8632  12720 4929  
104216 45852  39450 26397  15550 11699  5651 4302  2506 2680  
28678 16475  25236 13127  20172 11358  15636 9818  14202 7548  
118614 79720  39279 10810  6970 1535  1957 211  1164 43  
54530 28207  41082 21454  25697 12753  14578 10923  11532 7147  
100103 56445  39602 20215  18755 8720  6064 3750  2829 1878  
107500 57494  38750 22404  13046 5564  5772 4268  2427 1693  
42668 32817  41475 22296  26770 14256  15265 7258  11246 4724  
13633 8470  11103 7639  12881 6910  9134 5779  8834 5741  
117047 70097  34383 17101  11320 3929  3939 712  1666 333  
60436 32410  37094 15907  23501 16958  15666 10132  9288 6269  
69582 34498  41180 22790  22866 11164  14387 10266  9182 5468  
112188 59181  39554 26241  10717 4133  3608 1562  2085 822  
100392 61042  35874 18325  20408 7991  5326 2737  2453 1305  
81949 53325  39108 20383  22383 10540  13153 4554  5932 2027  
78623 46790  44395 20486  20741 10735  12407 8266  4343 2160  
49801 31836  41942 20520  22206 15109  14524 6724  9600 6370  
132499 72431  26652 15829  7091 3720  1154 181  953 115  
63951 43606  41897 20925  24294 13159  16260 6748  9483 3198  
129955 88400  31024 3546  5979 385  1162 12  456 0  
133997 62698  26687 24195  6434 3302  1261 1224  437 661  
105359 47671  39384 25590  14453 9829  5764 5100  2038 2067  
25909 17653  20777 13843  20070 10635  15135 8195  13597 7965  
74859 41895  40151 20203  23488 10851  13636 7501  7047 4733  
76646 52385  49831 21756  20153 10352  12116 4081  4204 1709  
42893 18379  32637 15203  24952 13979  17096 10236  13461 8159  
27460 16165  25219 14221  18407 10076  16168 9848  13795 6335  
120518 67752  34285 15062  8416 4452  3488 3108  859 1044  
138014 78446  27258 13020  2869 839  586 34  196 6  
45313 21544  29139 18432  25332 13068  18900 10663  12829 6443  
123078 60691  32996 22446  8065 4411  3399 3594  936 745  
63078 31512  46468 25312  23402 13122  15412 9311  9259 5433  
44405 26265  33299 17654  24760 12268  17205 9377  12111 7465  
131997 56828  26638 20547  8064 12039  1629 1928  466 691  
14098 5874  14037 7811  12897 6841  10896 5594  10590 5657  
106973 52464  39224 22922  14129 9717  5326 4720  2053 1499  
55646 30702  38768 20185  25121 15928  12990 7377  9346 5144  
147084 88025  19580 3870  2046 360  239 71  39 13  
116542 77947  35772 12975  12143 962  3325 339  549 56  
93794 57617  48027 20585  15926 9112  6388 3337  2510 1105  
75610 45495  41099 26155  19303 10898  13745 4744  8115 1990  
74132 35562  39966 18278  24410 16151  11915 10231  7180 4374  
28912 16562  24222 14260  19772 11273  17475 8623  13616 5907  
83544 50534  45767 23077  18857 9646  10015 5219  5381 2213  
89360 52086  39568 23566  21741 8786  10142 4640  3289 1584  
115434 50016  32858 20880  13332 13285  3497 4234  2159 2626  
118816 62270  29899 18800  13963 6119  4600 3533  1074 979  
30579 14472  24146 14709  18563 10403  17405 9223  14046 6669  
95762 49518  33874 26114  17654 9349  9645 3575  4834 2048  
107253 66367  38182 18441  15444 5658  4211 1358  2464 363  
119733 67069  26957 15358  11440 7090  8230 1926  1939 600  
101604 42292  41272 26637  16237 14557  5186 4486  2810 2643  
69527 50630  44902 21765  22856 10061  14451 4960  5597 2366  
43479 31678  38190 23100  23075 12578  15309 8713  12897 4737  
78815 48609  42285 20456  25302 12514  11232 6230  5172 2417  
133247 69834  29018 18057  4392 3720  1869 583  318 93  
15389 8405  13717 7053  12231 7310  11220 5043  9380 6185  
101468 42117  39805 23691  16871 15194  6461 6254  2453 2891  
72151 42598  44196 21702  23638 12054  11579 6670  7754 4039  
38500 22594  31158 16912  24909 10932  17621 11120  13226 6714  
110367 75390  36100 13502  18116 2774  3445 518  388 69  
115781 61727  38301 19947  8870 5503  3555 2808  1709 1726  
131951 87709  28071 4218  6098 308  2349 103  257 2  
88963 42131  42453 22687  18770 10870  9029 6203  4762 4362  
103150 55438  37157 17805  16409 9845  6596 5664  3284 1990  
15163 7033  13171 5668  11544 5979  11708 6290  10120 5587  
135015 84136  28050 6647  3677 975  1348 336  775 236  
154356 77199  12142 11050  2139 3922  305 154  43 16  
27092 17754  25175 13065  19570 11803  13361 9102  13143 7511  
87102 47390  41625 28627  27231 10228  7731 4342  2092 891  
11022 6144  13168 7446  9485 5484  10665 5192  10826 5531  
124854 80016  31636 9765  7018 2078  3593 391  809 51  
24897 14073  21424 12801  18270 10960  18456 9872  12074 7005  
37253 25568  31020 18633  20930 10584  21600 10461  12646 6559  
61683 31867  32520 20895  25790 10809  17548 10324  11020 5508  
146045 70274  18732 18336  3234 3374  588 216  205 94  
129387 76211  31709 12820  4081 1909  2298 1136  1051 203  
14618 6662  12854 5260  12520 6518  11682 5912  10514 5217  
91583 61228  37383 20014  24633 6623  8394 2397  3193 1298  
13674 7820  12168 7023  12403 6151  11083 5708  9882 5134  
140861 88522  19284 3430  7091 368  1302 24  329 0  
71764 44161  40248 23165  23724 11303  14576 6011  5660 3374  
63570 42483  37700 20634  28398 11913  15258 8179  10111 4070  
74561 51017  36657 20414  26805 11998  12305 4476  8299 2516  
79755 42642  46770 28107  20039 12032  10616 5427  5924 1973  
138755 83953  20963 7721  7321 499  1522 151  274 15  
27723 17429  24162 13781  20947 10950  15827 9442  10836 6556  
83857 58927  51741 21285  15155 7597  9155 2903  5205 958  
60377 30718  38470 22178  25415 12948  14691 9798  10422 4821  
127392 68254  32170 14640  6932 6110  1834 2748  485 489  
81757 63633  44796 20481  24057 5048  7449 2025  6081 760  
60304 31068  39545 20204  24580 12696  15456 8928  10320 6129  
135600 65742  23194 18620  6540 5354  2535 2101  623 343  
45524 23505  30266 18032  24372 12411  17616 7595  13074 7278  
60823 32963  37865 18158  25490 14935  15638 9358  8066 4569  
28543 14486  20361 13576  19891 9191  18375 9510  13083 6447  
43136 22658  29572 16703  23705 14443  17485 9959  9970 5415  
107442 63468  43540 20080  12770 6416  2767 1248  1532 731  
122592 46049  35585 31398  6968 8614  2466 4181  876 1299  
146492 87773  17420 4023  3363 364  1473 184  195 0  
154785 81031  11801 9409  2009 1520  268 282  129 93  
143272 88406  17345 3535  6856 311  1377 73  124 15  
13403 7221  13981 7404  10667 6511  10864 5365  10018 5085  
115237 47329  38091 32145  11061 9211  2581 1847  1316 1260  
41769 26581  34971 17035  21487 12223  16190 10047  14853 7260  
101270 53748  42214 22149  14009 9392  6054 4089  2992 1661  
49365 30727  35997 18820  27146 15730  18270 10315  12623 6232  
39368 20640  35571 19001  24040 12483  18269 11314  13361 7303  
66909 44316  40273 22065  24947 12463  16616 6208  7419 3401  
68928 37115  40896 18216  25364 14820  12499 7637  8281 6783  
92486 56996  39263 17558  23464 11115  8622 4382  1965 1347  
98706 57845  34787 16133  22700 11839  6873 4337  3212 1417  
34196 24374  35007 17768  20746 12129  16944 10701  12428 7031  
121102 61983  28431 18760  11935 8752  5242 1655  1283 522  
59873 34380  34143 20234  27045 13614  16673 9098  11221 5322  
57192 34896  38674 21854  25167 12723  13968 8672  11868 4192  
142127 88818  23575 3033  2100 337  970 122  175 33  
24708 13049  21839 14364  20225 9836  13467 8155  14537 8146  
137609 72873  24870 15239  5236 3398  804 439  332 269  
14074 5629  12683 5377  11809 5968  11095 5179  10212 4857  
70478 37278  43279 24818  24455 12480  13389 8447  6897 3325  
100026 63689  39336 17063  20629 8887  5900 1625  2093 663  
61015 42819  43374 22346  21859 12574  17980 6785  9238 3711  
108581 58392  44597 27297  10242 5004  4307 1197  835 359  
44848 19947  32127 14696  24047 14687  18213 11038  12867 6971  
28676 11665  23835 12995  20939 11534  16485 9308  14172 7778  
136162 77766  24286 11343  5534 2545  2103 556  510 79  
122797 67655  26429 17305  12705 5191  4916 1603  1428 373  
15022 7204  13758 7836  11958 5200  10009 5421  10555 5936  
105243 57712  37293 22788  13659 6488  7146 2523  3412 1656  
134013 60057  26679 21481  6532 8802  1163 1250  460 564  
40090 26430  33172 17534  24697 13853  14165 9547  15144 6597  
25784 17538  23704 13515  17620 11117  14420 9366  14784 7712  
124529 73709  35386 14652  5743 2707  1623 923  1364 262  
52720 34752  42013 20838  24557 14050  17760 8446  11448 5258  
20643 16176  20220 11750  17124 11644  17450 9931  14282 8083  
10531 8295  12797 7837  11680 7270  11526 6582  9981 5561  
123582 61884  32042 22503  7892 4887  3822 2349  1167 477  
114707 69375  35005 16893  13695 4453  3938 1196  1064 310  
15031 8239  12087 7981  12751 6576  11826 5987  10585 4945  
134917 78522  25080 11940  6710 1615  1869 204  320 28  
11734 6880  14204 7697  12067 7273  11182 6428  10270 4794  
133682 88676  21644 3003  7225 461  4338 139  1022 38  
85194 52423  40124 23031  19587 8674  12020 4440  5766 1768  
26880 17432  23795 14382  21177 11254  14791 9411  14032 6628  
42889 25349  30642 14214  23164 13790  16691 10732  13856 6855  
96000 48714  40659 18015  17155 12985  7789 5814  3947 3919  
27093 17762  23132 14060  17070 11432  18603 8709  13016 7554  
67753 37611  42398 18012  25869 14111  14734 10255  6784 4800  
38582 25265  33516 19276  25897 13162  18604 9846  13931 6961  
116685 70681  31370 14305  12740 4958  5795 1474  1307 685  
94241 46605  43208 24090  13468 10808  10947 6561  3500 2613  
73315 43149  43734 21531  19470 13189  12863 6864  7267 3104  
