# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
70559 49370  39871 19179  28511 13725  13942 5651  6739 2409  
38900 23257  30278 17689  23106 14318  20497 10406  14259 7580  
91502 45614  41268 25892  17320 7471  7381 6028  6162 3919  
115006 65063  36828 20913  9669 5160  3962 870  1579 230  
38330 24033  31319 16086  23253 12691  20421 11053  14168 8191  
75839 41834  49735 27883  21047 12364  10883 5821  4330 2331  
134460 78222  27516 11574  5414 1994  1236 445  276 61  
125291 48597  34661 32839  5609 5826  2211 3169  853 1456  
81541 60271  54520 20812  19090 7540  8266 2443  2963 840  
71275 44338  44462 21240  22883 12788  13857 6010  7418 3159  
77455 40941  37917 18862  21701 15566  12359 8133  8519 3865  
53206 33033  40389 22607  20456 12130  17865 8451  11295 4551  
83516 60199  33361 19130  31485 8420  12902 3015  4656 979  
49618 29049  32372 22083  20784 14081  20156 7730  14840 7044  
92779 46975  35762 22812  19841 10910  8595 5158  5398 2875  
12236 8353  14056 7786  12566 6525  9687 6067  10966 5739  
38458 25956  35948 17367  18080 12603  18699 10503  13643 6716  
117172 78956  42370 11030  5783 1658  2378 491  1026 163  
116599 72684  36445 17552  7531 1516  5519 485  2483 88  
89463 45396  42219 21168  18402 10642  8240 7350  4397 2530  
12664 8164  11523 7907  12246 6498  12038 5940  9089 5823  
153655 73710  13143 17251  1595 924  489 314  91 103  
35712 24972  35279 19078  20411 13403  18456 9918  12755 7069  
120514 79730  30801 9528  13813 2566  2728 429  816 68  
117334 68638  30425 14299  13435 7137  5683 1632  1530 392  
113241 46849  33091 19761  12386 13485  7086 8514  1679 2391  
77501 38973  38646 19596  21964 12319  13446 9443  7698 4776  
15359 7963  13669 6290  12736 7066  11081 4899  9610 5928  
148626 66286  17209 19956  1984 3687  600 1752  235 375  
43175 20288  33393 20116  21176 11049  19068 9146  13157 6645  
82028 51018  42117 23236  23344 10139  11748 4057  4937 2138  
28680 13832  23084 14782  20940 9922  17210 8201  13512 8638  
126495 67086  33420 20574  3972 2733  4216 1491  633 376  
112976 69370  29852 15058  18982 5051  4738 1709  1384 710  
88541 52788  43213 18925  19819 11032  8357 5535  4878 1969  
128471 71836  31710 16250  5891 2725  2247 1110  434 316  
100517 54265  43440 22629  14761 8037  5382 4790  2446 1397  
64049 40035  45555 22762  23504 12497  15331 8159  8390 4227  
14595 7825  14144 7408  12630 6499  11515 5503  10393 5054  
41968 25317  32675 17079  23394 11434  16942 8501  12200 8337  
56836 33796  37106 17187  27211 14313  14472 8765  11022 7034  
123102 67478  32760 18447  8604 4236  3193 1619  919 371  
124067 79418  31984 9175  10196 3154  1719 508  773 55  
27620 10643  25172 12639  20763 12258  16812 8885  14218 7886  
