# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  16633 8801  10439 5456  
48643 22666  18078 11322  5832 4515  
38038 22402  19042 9736  8745 4834  
6617 3840  5771 3233  5720 3057  
30029 16405  20836 10683  10483 4979  
54353 29036  14629 7300  4891 2407  
40237 20743  18274 9697  9034 5532  
26439 15416  16781 9270  10229 5795  
6661 3826  5753 2747  5526 3190  
24615 12337  18608 10363  11763 6184  
47880 25895  16661 8324  7468 4177  
19394 9616  14508 8316  11113 6213  
59526 30165  11776 8196  2278 1238  
66321 36174  6016 3401  2452 681  
18333 8804  14544 7593  11472 6248  
33593 17362  17015 10653  11181 5523  
51524 25311  14556 7870  7035 4688  
31146 17926  18237 9938  11919 5816  
5835 2679  5885 3004  5467 2782  
46925 24581  17677 10628  6518 3386  
18681 10066  12513 5734  11104 6764  
48923 30268  19984 7402  5256 1912  
12103 5691  10473 5130  9219 4873  
22506 12923  15659 9320  13226 7002  
6079 3070  5884 2945  5575 2867  
12232 6118  9429 5707  9092 5237  
32753 17229  18519 11325  10010 5071  
44694 26869  18670 9133  7929 2615  
12593 7572  10407 6262  7868 4139  
58564 29543  9989 7142  5630 2672  
11789 7412  10372 6204  7455 4058  
5957 3296  5614 3497  4162 2593  
57115 27608  12780 9719  5391 2539  
17083 10516  11662 6988  11586 5637  
43715 25619  23489 11302  5626 2252  
49445 28012  18640 9345  4970 1987  
11052 6352  9359 5880  7086 4292  
46937 26274  17699 9094  6295 3289  
40947 23779  22625 11772  6069 2383  
5847 3095  4568 2956  5621 3144  
32021 17679  22864 12965  9725 4212  
39950 21118  18735 10094  7026 3195  
20068 11414  14098 6807  10331 5703  
39566 22983  18681 9983  9442 3953  
6113 3347  5558 2793  5521 3282  
23402 14481  16144 8522  10539 5845  
39873 21437  21834 11702  9250 4442  
30447 14978  16701 9768  12528 6193  
35207 16107  20625 12001  9768 6534  
11850 6793  10009 4854  7313 4083  
44544 23217  14562 8351  10499 5380  
13656 7516  10272 5833  9022 5150  
6653 3646  5312 3217  5485 2940  
6482 3408  5958 3512  5455 2714  
47433 25341  17025 8597  6991 3653  
36338 20548  22151 9840  10531 6116  
24081 14126  18436 9918  11352 6283  
51797 26286  16241 10708  5579 2452  
45536 25410  16266 7524  9249 5075  
61435 32357  12813 7588  1889 318  
17476 12141  19281 10093  13536 6933  
11652 5305  10416 5072  8512 4643  
44055 21148  19900 12471  7167 3751  
37458 19489  20531 10706  8265 4674  
55572 31488  16483 7634  3465 1165  
43746 26009  19173 8578  7776 3907  
39698 20450  19498 11031  8501 5135  
39769 22377  19014 10420  8085 3868  
68273 38003  7005 2197  1486 234  
13354 7136  10841 5463  9033 5020  
23844 14304  17568 9967  11077 5305  
58083 29640  14907 8870  2494 1272  
46364 27098  17279 7613  7107 3490  
36574 18885  22733 11933  10220 5648  
57804 28794  14849 10045  3126 1177  
44154 22528  18300 8921  7334 4814  
40089 20745  20280 9662  10192 6210  
61083 32420  10827 6400  2922 908  
62754 30194  10485 7761  3006 1843  
35381 19265  15296 9697  11529 6214  
19798 11210  13446 7425  10063 5630  
6190 3647  5572 3341  5702 3170  
45118 25061  22486 10610  5297 3391  
4825 2612  4399 2274  5706 3114  
6372 3101  6149 3555  5291 2738  
58112 26315  13825 10259  3063 3038  
17956 10828  14329 8362  10930 6102  
20362 10742  14001 6934  10940 6006  
5181 2961  4601 2348  4411 2392  
19227 10630  15066 8480  10627 6137  
6743 3528  5641 2686  5483 2766  
6548 3288  5588 3007  5460 3075  
26460 13173  24062 13569  7708 3911  
19327 10415  15338 8214  9075 4827  
6574 3407  5330 2546  5099 2728  
54656 29654  13580 7703  6007 2248  
25181 12231  16288 8073  11583 6240  
6247 3022  5826 2851  5184 2489  
11097 6028  9497 5104  7352 4283  
28450 18562  19845 10292  14165 6404  
46439 26886  17492 8921  7575 3044  
32917 17538  17495 8124  11481 6525  
19663 11238  14089 6669  10619 6132  
32361 15941  16987 8458  9772 5076  
45365 23244  16472 8203  7835 4646  
5988 2975  5788 3443  5641 3131  
12032 6258  11192 6433  7764 4488  
25916 13116  14884 9160  10701 6081  
52108 30433  13183 6634  7091 2362  
31708 19134  20004 9358  13086 6715  
40562 25550  20387 8736  8029 3812  
33961 17973  17109 10366  9778 5290  
56774 33077  13823 6191  4162 955  
6809 3644  6045 3175  5046 3075  
6544 3866  5776 3189  5143 2746  
43975 21087  20034 12856  7321 3546  
12846 6804  11342 6206  8491 4463  
47414 26883  16008 7427  7731 4135  
39814 22796  18857 8810  9096 4383  
26500 14023  17587 9691  11473 6041  
57972 34478  13859 5177  3566 683  
20371 10839  14558 7398  10188 4985  
5754 3503  5854 3415  5574 2890  
11244 6180  11593 6150  7342 3992  
24495 13987  15633 8885  10528 5976  
33886 17788  16896 10385  10298 5792  
12734 7486  10533 5135  8732 4846  
43864 22839  16372 9885  7838 3573  
18748 9139  15263 8620  10998 5998  
62881 36247  12137 4129  1189 77  
13010 7769  9187 5662  9046 4734  
50183 26701  16100 9293  3826 2023  
64849 38737  9208 1613  2418 128  
41514 24332  19840 9145  7393 3804  
6472 3290  5257 2376  4772 2698  
61111 33087  10284 6140  2356 654  
42963 25399  20153 10136  8204 3274  
32914 18834  18999 10321  10493 4637  
43055 25175  15472 8442  8988 3714  
67829 35697  7656 4134  1177 520  
6686 3559  5893 3534  5480 2979  
5072 2577  5609 3115  5434 2734  
34761 20035  25247 13468  6264 2446  
32490 18482  13310 6694  13408 6211  
19133 11559  13441 7033  11614 5775  
63021 37875  8758 1937  4460 630  
26966 14204  15854 8215  10445 6170  
31950 17423  19568 10940  9279 5104  
6719 3486  6105 3240  5076 2401  
31153 15995  20048 11687  8697 4199  
54047 31876  15729 6853  4884 1305  
19991 11616  13367 7661  11142 5200  
12204 7472  9160 5750  9394 4584  
36821 21568  20190 8891  8086 4829  
6462 3216  5747 3294  5594 3250  
25641 15492  18040 9366  11586 5578  
9658 6126  11358 6188  7718 3922  
18925 10686  14609 6968  8658 5713  
51057 26588  13481 7610  8074 4837  
6172 2917  6109 3278  5692 3026  
37921 20160  18764 11409  9145 5014  
68197 37804  6469 2090  1968 478  
38573 24547  22564 10682  9389 3530  
63875 38782  10945 1490  1775 203  
18643 9923  15136 7873  10833 6417  
18301 11373  15359 7986  11364 6007  
28508 19039  22574 11512  12512 5327  
12672 7229  10809 5705  7320 4322  
4916 3227  5813 3439  4617 2815  
36965 18001  20512 12641  8966 4315  
19255 10077  15273 8637  9457 4539  
52779 29265  13466 6149  6983 3789  
51500 28089  12879 6251  7544 4213  
20236 11436  14948 7956  10759 5863  
12649 6691  10022 5937  8368 4377  
31903 17590  15070 9623  11318 5980  
47967 30041  18040 8105  7363 1786  
5077 3350  4912 2665  4436 2749  
6148 2940  6275 3417  5442 2882  
45109 26654  18651 8023  6328 2995  
52042 27314  18422 8739  4807 3483  
58307 30331  14806 8595  2895 1229  
39375 22363  17257 9622  10647 4787  
26253 15157  15530 8864  10988 5069  
13290 7663  11009 6244  8333 4200  
18636 12450  14773 8674  15014 7217  
33699 17495  18943 10411  10063 5304  
38301 23256  19582 9915  9929 3890  
61926 32769  10939 6056  2087 990  
49638 25508  17701 9691  6504 3743  
52144 29588  17062 7572  4181 1808  
54698 29573  14076 6372  5586 3213  
55648 26691  12481 10194  5152 2302  
13442 7429  8954 5181  9508 5215  
61609 29112  10842 7177  3588 3317  
26432 14854  16367 9390  11204 6169  
18355 9072  13550 8250  8078 4044  
9950 4889  9575 4761  8353 5165  
46915 24282  18290 10104  5954 2941  
33873 19212  15930 8884  11622 4963  
13406 6897  10248 5215  8508 5075  
40273 22115  16252 9773  8250 3586  
5515 3552  5211 2795  5697 3271  
60640 36160  11788 3788  3436 500  
33711 19246  16448 9715  11732 5138  
20217 10534  14199 7080  9865 5850  
44517 26782  19311 9184  6989 2519  
17753 9404  13805 8023  9021 4210  
56975 27920  13841 8557  4083 2808  
19934 11515  14711 8103  8082 4786  
23679 13514  15516 9596  11743 4825  
13685 7425  11163 6079  9233 4948  
52341 26084  16462 9573  4637 2879  
53285 27639  15952 9138  5118 2378  
12408 7098  10599 5279  6860 4286  
6584 3349  6025 3508  5175 2528  
12886 7661  10715 6200  8878 5085  
26950 16293  17338 8049  12156 6332  
27085 14193  15647 7362  11374 6971  
10650 6576  9134 4789  7513 3718  
13498 7340  9848 4858  9234 5408  
55934 27068  15940 10499  3347 2256  
