# NumberOfHospitals NumberOfScenarios TimeHorizon
3 200 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
89103 82561 80226  48938 37343 30804  13197 12999 14007  
62532 56210 52820  41436 34168 30509  21050 18647 18580  
115806 110002 102905  41052 28383 25877  16165 9804 7634  
130587 121419 119445  40997 24575 14254  5762 3814 3384  
53127 46861 45290  37683 33397 32066  23634 18999 16917  
99077 77843 60916  38566 35662 35454  21890 17620 16916  
62632 50858 43837  42000 37485 35173  22164 19406 19219  
73073 60141 53442  31802 28758 29454  27829 24105 22427  
101469 98755 102552  41238 28723 20933  22538 16679 10899  
116333 91918 72864  39262 37170 40642  14867 13683 15084  
26710 25242 25583  17554 18658 20470  21245 18299 16890  
86432 86751 94114  56999 44947 33658  22888 12726 6862  
95894 84094 77619  45336 37417 33166  14922 13584 14416  
13535 13137 13012  14221 12629 11910  12971 11174 9787  
120025 97691 85247  41036 39223 39907  13300 9471 7698  
144024 120231 106401  24692 23637 26221  8287 5746 4291  
48747 39933 34420  31457 26382 24219  24984 22000 21024  
165937 140961 123888  10810 8670 13195  2126 679 330  
48982 41874 36555  35180 30067 27778  24405 21868 21193  
134338 120118 114878  23482 20674 18799  16892 8131 3244  
66258 56296 49788  39870 33177 28374  26383 22670 21968  
32582 27879 24344  27004 20884 16450  20356 18453 17561  
80457 64801 54834  39597 33686 31623  27543 23904 21912  
11008 11666 12811  12476 11666 11670  11684 11070 10692  
133866 107189 87919  32621 32004 36463  9286 7950 8537  
138092 129205 120997  37797 19525 14851  2736 1628 1633  
73405 80907 93565  55729 42982 31592  24451 15192 8288  
112086 98841 90056  43098 32614 27803  13351 11800 13007  
91694 92288 99200  36783 31105 25766  26132 16219 8690  
96931 93538 93334  38975 32885 29536  20797 13837 9663  
33195 28161 24693  25964 22486 20851  22304 18528 16130  
