# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
37623 20186  17795 9499  8429 4890  6776 3135  2327 1052  
5897 3154  5489 3114  5627 3106  3918 1861  4712 2427  
38490 22926  17673 9549  10304 4611  4313 1664  3074 933  
20232 10532  13827 7220  9571 5082  8438 4426  5897 3009  
40311 22667  17353 9334  7976 4366  5152 2252  3168 1039  
12248 5740  9866 4678  9424 5403  7242 3638  6455 3585  
20003 10237  13437 6466  11452 6457  8092 4328  6060 3723  
59212 34125  14731 5917  1674 198  538 97  311 88  
10881 6221  10645 5470  8586 5319  7548 4110  4848 2322  
24913 13683  15370 8617  9381 5239  8697 4578  5606 2694  
58589 31172  12995 7764  4252 1153  837 329  182 51  
6437 3744  5333 3103  5553 3202  4798 2600  3531 2129  
24594 11680  18447 10623  11549 6292  6793 3969  4594 2334  
40796 19013  21752 13214  6865 4725  4417 2120  1419 698  
32685 18364  17326 8601  11650 6143  5393 2690  4216 2106  
30487 14952  20522 10436  11851 6863  7999 4379  3034 1845  
53301 28895  16326 8693  4829 2116  1127 400  814 221  
6052 2926  5675 2710  5364 2682  4837 2723  4800 2572  
31983 19234  19519 9099  9955 5496  6529 2886  3716 1597  
24583 13794  18383 9751  11579 6379  6623 3398  5347 2629  
66777 38757  7505 1347  1719 285  580 77  321 11  
9709 6235  10007 6177  7628 4415  7800 3698  5127 3013  
25969 15476  17426 9009  10651 5834  7682 3832  4946 2195  
45931 24280  16749 8413  6899 3727  4275 2369  1500 903  
25270 16520  22759 11073  11560 6038  7071 3104  3825 1707  
6295 3856  6063 3371  5578 2991  4884 2877  4069 2375  
41139 22985  21325 10862  8505 4439  3740 1342  1447 594  
13136 6705  10304 4935  9077 4753  6576 3251  6675 3862  
18442 8681  14431 7717  10653 5889  8407 4500  6007 3391  
39429 19809  16969 8718  10654 6250  4792 2637  2199 1363  
46830 26416  19407 8392  5638 3631  2894 1274  1143 405  
30570 15684  15447 7783  11895 7702  6276 3108  5125 2240  
38963 20911  18735 9559  7478 4335  5431 2743  3392 1485  
42635 20605  19984 12611  8191 3810  3712 2176  1374 697  
12754 7149  11117 5652  8437 4022  7705 4212  6068 3371  
17030 9776  11462 5741  11451 6792  7090 3765  7409 3377  
59312 32248  12662 6035  3415 1800  1070 269  222 49  
26707 13969  15406 7912  11781 6843  8113 4341  4879 2739  
38689 24723  18465 7884  9525 5128  6329 1775  2153 653  
46243 27083  17583 8629  7573 2562  3280 1254  1322 578  
24536 11687  16248 7962  11778 6469  6451 3485  5900 3474  
19841 10259  14718 7549  9243 5358  6977 4100  6994 3574  
52781 26569  15570 8633  5808 3630  1839 1114  569 391  
46424 26679  17250 7520  5981 3491  2685 1357  1683 657  
6374 3837  5340 3249  4391 2426  5024 2796  4502 2464  
6263 3010  6024 3161  5096 2531  4608 2265  4728 2503  
28793 17272  20378 11021  11993 5740  6209 3065  3622 1394  
50537 30932  20818 8964  2740 411  1578 86  668 61  
46858 24435  17681 9888  6864 3126  3142 2017  1396 665  
19959 12385  16678 8223  13385 7389  6830 3824  5459 2953  
45574 20473  20710 12952  6874 4421  2083 1579  848 644  
31025 15130  16586 8412  11709 7564  7495 4125  4293 2067  
67925 36270  6944 4058  1429 147  464 7  155 0  
11731 7247  11592 6043  7557 4452  8034 4346  6447 3526  
10327 5868  8581 4491  8706 5280  8602 4521  5339 2683  
25315 12626  19312 9535  9712 6731  7529 3676  5198 2810  
6291 3862  5650 3150  5361 3068  5035 2735  4726 2634  
10340 5481  8934 5586  8457 4415  7115 3662  5983 3548  
40104 19114  22852 13739  7764 3942  3399 1880  1454 852  
53883 28603  16142 8642  3718 1521  2172 1136  660 412  
37761 19221  16702 9810  12080 6501  4799 2649  2341 909  
54074 29774  14757 8196  5604 1862  1712 468  457 114  
6275 3800  5696 2995  4945 3025  5084 2605  4823 2652  
10552 5453  9746 5224  9398 5041  7660 3724  5889 3016  
13621 7388  10643 5422  8829 5237  7466 3877  6124 3475  
20223 11565  13235 6885  11259 5591  8001 4594  5865 2913  
62625 34394  11386 4433  2576 1372  292 246  32 24  
45981 24542  17624 8395  8139 4852  2998 1667  1289 617  
62750 33362  10595 6283  1731 562  1460 252  180 20  
