# NumberOfHospitals NumberOfScenarios TimeHorizon
2 200 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
37623 20186  17795 9499  8429 4890  6776 3135  2327 1052  
5897 3154  5489 3114  5627 3106  3918 1861  4712 2427  
38490 22926  17673 9549  10304 4611  4313 1664  3074 933  
20232 10532  13827 7220  9571 5082  8438 4426  5897 3009  
40311 22667  17353 9334  7976 4366  5152 2252  3168 1039  
12248 5740  9866 4678  9424 5403  7242 3638  6455 3585  
20003 10237  13437 6466  11452 6457  8092 4328  6060 3723  
59212 34125  14731 5917  1674 198  538 97  311 88  
10881 6221  10645 5470  8586 5319  7548 4110  4848 2322  
24913 13683  15370 8617  9381 5239  8697 4578  5606 2694  
58589 31172  12995 7764  4252 1153  837 329  182 51  
6437 3744  5333 3103  5553 3202  4798 2600  3531 2129  
24594 11680  18447 10623  11549 6292  6793 3969  4594 2334  
40796 19013  21752 13214  6865 4725  4417 2120  1419 698  
32685 18364  17326 8601  11650 6143  5393 2690  4216 2106  
30487 14952  20522 10436  11851 6863  7999 4379  3034 1845  
53301 28895  16326 8693  4829 2116  1127 400  814 221  
6052 2926  5675 2710  5364 2682  4837 2723  4800 2572  
31983 19234  19519 9099  9955 5496  6529 2886  3716 1597  
24583 13794  18383 9751  11579 6379  6623 3398  5347 2629  
66777 38757  7505 1347  1719 285  580 77  321 11  
9709 6235  10007 6177  7628 4415  7800 3698  5127 3013  
25969 15476  17426 9009  10651 5834  7682 3832  4946 2195  
45931 24280  16749 8413  6899 3727  4275 2369  1500 903  
25270 16520  22759 11073  11560 6038  7071 3104  3825 1707  
6295 3856  6063 3371  5578 2991  4884 2877  4069 2375  
41139 22985  21325 10862  8505 4439  3740 1342  1447 594  
13136 6705  10304 4935  9077 4753  6576 3251  6675 3862  
18442 8681  14431 7717  10653 5889  8407 4500  6007 3391  
39429 19809  16969 8718  10654 6250  4792 2637  2199 1363  
46830 26416  19407 8392  5638 3631  2894 1274  1143 405  
30570 15684  15447 7783  11895 7702  6276 3108  5125 2240  
38963 20911  18735 9559  7478 4335  5431 2743  3392 1485  
42635 20605  19984 12611  8191 3810  3712 2176  1374 697  
12754 7149  11117 5652  8437 4022  7705 4212  6068 3371  
17030 9776  11462 5741  11451 6792  7090 3765  7409 3377  
59312 32248  12662 6035  3415 1800  1070 269  222 49  
26707 13969  15406 7912  11781 6843  8113 4341  4879 2739  
38689 24723  18465 7884  9525 5128  6329 1775  2153 653  
46243 27083  17583 8629  7573 2562  3280 1254  1322 578  
24536 11687  16248 7962  11778 6469  6451 3485  5900 3474  
19841 10259  14718 7549  9243 5358  6977 4100  6994 3574  
52781 26569  15570 8633  5808 3630  1839 1114  569 391  
46424 26679  17250 7520  5981 3491  2685 1357  1683 657  
6374 3837  5340 3249  4391 2426  5024 2796  4502 2464  
6263 3010  6024 3161  5096 2531  4608 2265  4728 2503  
28793 17272  20378 11021  11993 5740  6209 3065  3622 1394  
50537 30932  20818 8964  2740 411  1578 86  668 61  
46858 24435  17681 9888  6864 3126  3142 2017  1396 665  
19959 12385  16678 8223  13385 7389  6830 3824  5459 2953  
45574 20473  20710 12952  6874 4421  2083 1579  848 644  
31025 15130  16586 8412  11709 7564  7495 4125  4293 2067  
67925 36270  6944 4058  1429 147  464 7  155 0  
11731 7247  11592 6043  7557 4452  8034 4346  6447 3526  
10327 5868  8581 4491  8706 5280  8602 4521  5339 2683  
25315 12626  19312 9535  9712 6731  7529 3676  5198 2810  
6291 3862  5650 3150  5361 3068  5035 2735  4726 2634  
10340 5481  8934 5586  8457 4415  7115 3662  5983 3548  
40104 19114  22852 13739  7764 3942  3399 1880  1454 852  
53883 28603  16142 8642  3718 1521  2172 1136  660 412  
37761 19221  16702 9810  12080 6501  4799 2649  2341 909  
54074 29774  14757 8196  5604 1862  1712 468  457 114  
6275 3800  5696 2995  4945 3025  5084 2605  4823 2652  
10552 5453  9746 5224  9398 5041  7660 3724  5889 3016  
13621 7388  10643 5422  8829 5237  7466 3877  6124 3475  
20223 11565  13235 6885  11259 5591  8001 4594  5865 2913  
62625 34394  11386 4433  2576 1372  292 246  32 24  
45981 24542  17624 8395  8139 4852  2998 1667  1289 617  
62750 33362  10595 6283  1731 562  1460 252  180 20  
29727 17191  15143 6889  13928 7585  7610 3785  3658 1670  
44525 24199  18245 8788  8728 4502  3300 1900  1278 712  
38910 22763  19145 9706  9741 4376  3748 1630  2093 803  
33156 18790  16954 7737  9168 5545  7896 3909  3808 2098  
42631 19975  20198 13042  8463 4639  2840 1408  1419 879  
6758 3674  5609 2819  5478 2762  4922 2657  4313 2611  
11281 5186  11265 5891  8450 4390  7543 3990  6587 3597  
6380 3536  6203 3459  5179 2657  5046 2905  4305 2590  
30026 17680  18240 8782  12346 6676  6219 2976  3949 1937  
15835 8839  13329 8338  10136 4534  8340 4854  6928 3530  
26747 14193  17102 8573  9255 5497  8299 4206  4517 2115  
11992 6979  10326 5065  9159 4809  7176 3900  6308 3336  
19792 10332  15033 8010  11085 5971  7665 4484  5540 2845  
18903 10285  14455 7566  11108 5591  8294 4219  5641 3032  
12409 5963  10749 5764  9523 5357  7529 3805  6219 3296  
37007 21601  24533 11798  8691 4396  4097 1717  1026 499  
21211 12533  12877 6527  13750 8007  9215 4926  6091 3061  
26567 14558  16533 7849  11048 5622  7975 4528  4958 2584  
30296 14754  14541 8321  12408 5985  6297 4092  5584 2730  
19845 10218  13344 6564  10806 5527  8305 4432  6310 3671  
61638 36274  12964 3865  1845 303  279 31  162 8  
60542 34748  12732 4894  2495 586  496 186  412 37  
40046 23066  19067 8872  9002 4284  4092 1794  2311 1196  
57764 32460  16588 6675  1783 1124  640 168  130 44  
19719 10174  14558 8007  11170 5871  7478 3638  5492 2669  
55774 32686  16544 6732  2601 687  1317 219  479 92  
46312 24813  17438 8530  7951 4719  3098 1470  1078 437  
36178 16738  19826 10928  9416 5674  5072 3589  3230 1865  
9765 5076  8566 5413  9848 5100  7526 3497  5628 2777  
26073 13389  16535 9302  11661 5866  7440 4255  5311 2894  
34419 22039  17301 8336  9095 4509  4969 2474  6041 1683  
6238 3112  6126 3430  5370 2817  4283 1968  4307 2513  
60635 32221  12547 6654  2705 1025  762 502  190 54  
12570 7303  9579 6001  9273 5214  6900 4021  6479 3437  
35200 20169  21899 12168  10102 4515  3339 1307  2376 1049  
20292 11556  14926 8196  9875 4999  8123 4054  5552 2991  
61460 37888  11381 2068  2304 328  1084 157  564 37  
12775 6336  10101 4809  9162 5519  7063 3393  6427 3582  
43051 27405  16545 7603  12598 4098  1643 744  2124 468  
40263 22488  15489 8796  10656 4840  5540 2157  2380 912  
51553 25326  16457 10938  5571 2314  2296 1364  629 321  
40635 21250  18792 10055  8583 4288  4474 2815  2150 1095  
29579 14569  19045 11696  11349 5905  7385 3731  4093 2029  
60760 33647  11714 5767  3160 887  761 135  399 27  
45212 23280  18100 10211  7409 3960  3618 1941  1239 701  
36061 21930  19118 10165  9680 4139  5989 2416  2463 955  
47176 26113  17862 9578  6738 3096  3056 1065  1032 366  
42768 20411  20127 11856  8135 5176  2900 1614  1720 881  
32500 18235  16817 9389  11229 5979  6023 2573  4195 1836  
20477 11104  13610 6430  9931 5156  8153 4593  5932 3235  
61606 33513  10933 4673  3230 1636  850 478  232 149  
40194 21294  18194 9348  9437 5006  3860 1967  2222 1549  
45552 27643  15178 8050  8569 2497  2881 871  2873 1066  
35545 20532  17843 9383  12470 5564  5107 2392  2872 1400  
13540 7694  11063 5966  8376 3956  7726 4184  6108 3313  
49073 28837  18109 8873  6476 2108  1660 458  847 123  
13162 7311  9665 4475  9121 4695  7080 4328  6596 3692  
40453 21271  16635 8048  10122 5600  4108 2528  2765 1742  
33526 19363  18722 9107  10429 5340  4785 2822  3984 1834  
28968 17406  20090 10939  11196 5442  7090 3199  3446 1551  
59320 33191  13631 4850  3528 2131  257 161  146 123  
13321 6877  10835 5494  8950 4931  7147 4099  5427 2500  
64436 36847  10649 3454  919 68  753 78  122 25  
34032 16200  15602 8644  14670 8284  6261 3477  2428 1327  
46083 26071  17894 9661  7699 2749  2649 1158  1588 497  
20649 13537  16745 8914  12962 6237  9222 4284  5231 2670  
11745 5951  11223 5707  8700 5331  6198 2931  6161 3206  
6247 3190  6117 3124  5628 3139  4983 2870  4782 2603  
18327 8915  18858 10067  12857 6351  7814 4338  5602 3546  
20340 10492  16425 9303  13362 6514  8286 4310  5574 3102  
52789 25043  16134 11470  3403 2606  3133 904  510 229  
32892 18462  19377 9646  9831 5225  5626 3008  2858 1462  
19348 11587  13419 8088  11739 5606  8323 4281  5942 3128  
61442 34217  10094 4018  3480 1466  785 429  551 268  
61590 38274  10736 1724  4346 444  195 29  42 8  
5562 2819  5792 3436  4382 2593  5375 2953  4501 2259  
6514 3883  5326 3188  5680 2979  5269 2791  4771 2433  
59779 28031  13131 8658  3282 3530  499 241  105 11  
45096 22580  18315 9964  7974 4781  3367 2017  1135 531  
46575 23837  17394 10222  6755 4178  3679 1486  1382 501  
20216 11208  14141 8353  11267 5925  7706 3981  5452 2263  
18959 10041  14820 7371  11232 6164  7677 4224  5763 2674  
5428 2694  4713 2317  4429 2304  4171 2591  5013 2766  
40523 21434  18166 10945  9017 4665  4502 1936  2408 849  
66833 35426  8657 4476  1163 462  223 117  47 2  
13039 6504  9979 4703  8870 5021  6717 3437  6066 3166  
41782 20868  21965 12646  6846 3211  3190 1657  1369 779  
33739 19232  18557 10058  9832 4166  5649 3191  3731 1666  
58789 31183  9809 5538  6635 3008  1212 646  351 75  
36742 18034  20990 12484  10001 5297  4689 2433  2319 1252  
26111 14121  13195 7504  13091 6345  6106 3216  6467 3056  
53762 27783  15849 8745  4400 2221  1999 1283  622 316  
38786 19694  17692 8574  10509 6686  4525 2416  2547 1465  
37419 22011  21306 10817  9532 4735  5228 1698  1365 637  
6158 2933  5782 3281  5228 2517  5278 2948  4626 2361  
62789 30605  11568 8778  2279 904  248 177  30 11  
58955 31687  13154 6382  2866 1987  1040 249  634 145  
6229 3675  5876 3016  5085 2507  5147 2945  4775 2678  
33356 17395  21641 10540  9327 5487  6174 3086  3023 1644  
59363 34575  13232 5544  2636 272  812 65  701 18  
