# NumberOfHospitals NumberOfScenarios TimeHorizon
3 300 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
17007 17084 9122  9281 7985 4155  
28127 22854 13591  5546 12071 2989  
12307 13114 6429  8034 9709 4039  
27311 25916 12385  6554 8778 3398  
13754 12731 6217  7641 8561 4082  
16282 15338 8023  8546 11156 4039  
4712 7345 2824  4210 6055 2379  
26762 32889 14330  7531 4441 2450  
16006 25251 8904  10373 9924 4828  
6760 5725 3140  5267 5578 2370  
3084 3158 1354  2833 3295 1489  
19252 19163 8511  9505 8930 4413  
25480 28473 13025  6498 8726 2693  
19583 15873 9215  9251 8889 3925  
2648 3047 1504  2417 2488 1330  
19213 35617 12565  12303 4374 3863  
18485 29202 11239  6818 7798 3263  
13037 13470 6532  8466 8919 3767  
13221 18652 7459  6835 9899 3679  
6453 6734 3260  4024 6186 2226  
26861 29393 15032  7231 4763 1795  
2343 3612 1425  2642 3355 1324  
10408 14306 5316  8193 8988 3768  
25174 31174 14079  5423 7582 2055  
2473 3161 1142  2160 3255 1151  
17253 26050 9969  11969 8360 4374  
17305 15077 8872  9036 10694 4496  
24888 30472 11758  9038 7903 4499  
3267 1904 1314  3006 1946 1241  
25509 28531 13018  8017 6799 3052  
2956 3432 1386  2247 3383 1320  
10462 18139 6496  11062 10106 4867  
5942 5005 2976  4382 4528 2399  
13967 18579 7703  7338 9320 3277  
17076 22266 8821  7736 10095 3987  
8056 10494 4613  6984 8210 3470  
11454 18143 7022  10873 9828 4783  
19770 20834 9299  8183 10597 4410  
23577 22582 10571  8097 8553 4240  
20312 15051 8942  8412 13179 4725  
12455 18576 6940  8810 9794 4565  
10150 8695 4331  5559 7769 2732  
17102 21035 8256  9684 10543 4984  
21844 26473 12352  10363 9660 3562  
10212 7348 4231  7429 7346 3541  
9599 10841 4697  7385 6958 3248  
17171 29059 10214  10157 8322 4090  
33345 30544 14473  1529 6933 1476  
15651 21034 9109  8152 10716 3765  
15975 22424 8958  7524 9729 3533  
21310 33345 12423  11976 5521 3787  
22704 19296 11644  8078 12520 4000  
2783 3604 1394  3004 3209 1424  
5284 4879 2854  4549 4968 2484  
20658 16794 8858  7995 8662 4385  
3184 3563 1624  2676 2977 1200  
18757 18758 9597  8859 11096 4318  
18667 21913 9652  8626 7389 4077  
2345 3690 1345  2639 3409 1396  
3429 2572 1449  3110 2471 1363  
12570 14265 6039  7088 9626 3700  
17191 15699 7703  6966 11504 4048  
10336 9543 4689  7003 4373 2855  
21467 28776 10888  8180 8718 4001  
16868 14533 8721  8778 8309 4197  
32326 32670 16249  3009 5073 904  
19354 24310 9356  10887 7461 4443  
33686 27205 15459  2058 8232 1473  
6347 7110 3038  4628 5967 2312  
16617 17042 8167  8347 10562 4215  
16355 11405 7268  8316 11756 4646  
22321 19418 11607  9643 13454 4272  
2780 3749 1509  3024 3083 1378  
14083 21643 7700  9957 9355 4141  
13797 22006 7917  10744 8856 4131  
33255 34424 16323  2112 5422 798  
15512 18759 7018  7585 10921 4002  
3282 3558 1594  2938 2674 1436  
19983 19749 9041  6784 11541 4103  
18272 23183 10613  6847 10677 3463  
13751 16700 6434  9220 10793 4661  
16716 16765 8159  8837 8610 3696  
13351 13749 6519  5733 9595 3473  
25466 26371 12981  7081 9825 3188  
20505 14879 8620  8797 10336 4602  
19818 24674 9638  9629 9735 4497  
18653 22726 8613  9423 11589 5157  
33603 28037 14116  1924 11377 2840  
12152 13825 6444  7943 9056 4021  
15097 14751 7816  9723 7858 4097  
10961 18243 6480  10549 9897 4989  
5668 7264 2844  5553 4897 2351  
3051 2747 1537  2600 3348 1429  
25652 26974 11748  5220 9696 3106  
6814 6697 3213  4305 6032 2477  
8911 10275 4167  7778 6509 3406  
25072 35610 12972  9343 4415 3623  
3007 3627 1598  2762 3041 1450  
13443 8877 5545  7855 8391 4169  
26745 31131 12616  5015 7906 3077  
30662 22113 13132  4429 12584 3454  
16469 22433 8775  9257 9869 4558  
18205 29457 10851  9409 7883 3506  
26638 30428 14354  6662 7412 2388  
16790 15219 7291  8415 11259 4433  
18506 21808 9663  9407 8017 4205  
16412 16918 7546  8615 10534 4358  
19590 21122 9316  8671 8689 3730  
32232 34397 14986  3412 4999 2021  
5576 7503 3025  3747 5968 2227  
23388 24429 11241  7222 10031 3864  
4807 6117 2186  5599 5972 2674  
33422 33995 15505  2242 5475 1606  
21736 22747 11985  10868 11019 3893  
31221 29422 15758  4071 5239 1167  
18585 26250 10277  10310 8803 4077  
29838 30835 13892  4617 7206 2374  
25947 26058 11615  7356 9880 4102  
8564 11174 4450  6090 7809 2989  
6624 7008 3249  5270 5529 2384  
25145 23889 13382  8894 10628 3223  
24610 23194 13188  9410 9656 3217  
3243 3350 1629  3124 2963 1445  
19086 18859 10364  9186 12839 4400  
3221 3554 1626  2802 3373 1420  
2144 3636 1282  2955 3267 1406  
13801 10868 5932  8348 9193 4231  
3229 3576 1561  2724 2803 1178  
19438 32745 12049  11305 6192 3333  
20685 25406 11145  8788 9609 3624  
9875 14370 5208  8542 9456 4090  
3306 3454 1631  2422 3283 1222  
25080 33026 13957  9241 5314 2605  
5436 6976 3090  5282 5175 2624  
2779 3280 1276  2258 3238 1167  
24021 21740 10672  7816 7281 3663  
16133 17826 7764  9454 8938 4393  
2642 3021 1501  3175 2861 1457  
11836 17952 7201  9523 10378 4262  
23198 26773 10125  10737 9926 5650  
19575 17033 9425  8113 12221 4364  
16967 15472 7462  7796 11525 4315  
19526 21419 9736  9098 8572 3731  
2715 2902 1503  3150 3087 1468  
10847 13751 6176  6499 9744 3546  
11470 14953 6006  7135 9014 3423  
15728 16883 7215  7599 10863 4129  
10178 8895 4761  7184 6540 3396  
11790 9858 5914  9005 8996 4195  
2362 3583 1437  2607 3387 1334  
