# NumberOfHospitals NumberOfScenarios TimeHorizon
3 200 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
17007 17084 9122  9281 7985 4155  
28127 22854 13591  5546 12071 2989  
12307 13114 6429  8034 9709 4039  
27311 25916 12385  6554 8778 3398  
13754 12731 6217  7641 8561 4082  
16282 15338 8023  8546 11156 4039  
4712 7345 2824  4210 6055 2379  
26762 32889 14330  7531 4441 2450  
16006 25251 8904  10373 9924 4828  
6760 5725 3140  5267 5578 2370  
3084 3158 1354  2833 3295 1489  
19252 19163 8511  9505 8930 4413  
25480 28473 13025  6498 8726 2693  
19583 15873 9215  9251 8889 3925  
2648 3047 1504  2417 2488 1330  
19213 35617 12565  12303 4374 3863  
18485 29202 11239  6818 7798 3263  
13037 13470 6532  8466 8919 3767  
13221 18652 7459  6835 9899 3679  
6453 6734 3260  4024 6186 2226  
26861 29393 15032  7231 4763 1795  
2343 3612 1425  2642 3355 1324  
10408 14306 5316  8193 8988 3768  
25174 31174 14079  5423 7582 2055  
2473 3161 1142  2160 3255 1151  
17253 26050 9969  11969 8360 4374  
17305 15077 8872  9036 10694 4496  
24888 30472 11758  9038 7903 4499  
3267 1904 1314  3006 1946 1241  
25509 28531 13018  8017 6799 3052  
2956 3432 1386  2247 3383 1320  
10462 18139 6496  11062 10106 4867  
5942 5005 2976  4382 4528 2399  
13967 18579 7703  7338 9320 3277  
17076 22266 8821  7736 10095 3987  
8056 10494 4613  6984 8210 3470  
11454 18143 7022  10873 9828 4783  
19770 20834 9299  8183 10597 4410  
23577 22582 10571  8097 8553 4240  
20312 15051 8942  8412 13179 4725  
12455 18576 6940  8810 9794 4565  
10150 8695 4331  5559 7769 2732  
17102 21035 8256  9684 10543 4984  
21844 26473 12352  10363 9660 3562  
10212 7348 4231  7429 7346 3541  
9599 10841 4697  7385 6958 3248  
17171 29059 10214  10157 8322 4090  
33345 30544 14473  1529 6933 1476  
15651 21034 9109  8152 10716 3765  
15975 22424 8958  7524 9729 3533  
