# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
87857 37306  43962 30068  19104 12339  
130042 76713  31935 11204  4538 3736  
145142 83517  18553 8564  4829 195  
36839 25193  33477 19324  19972 10620  
108737 62943  37136 20883  15423 5606  
89196 55418  43026 24726  19665 7131  
13871 8088  10031 7507  11619 7369  
105499 57044  40029 22423  11390 7584  
37917 26034  28423 18636  25102 11896  
58065 24515  36398 16216  23479 16239  
56236 33830  37876 22061  27265 13293  
155145 80861  11056 7799  2215 3450  
70178 27813  41587 24905  22833 11954  
42797 20860  26209 14683  23611 14694  
145275 61632  21158 27321  1932 2361  
87813 45671  39737 26619  22056 8544  
34999 23210  32224 14952  22939 12509  
92484 49254  41864 22314  17883 8703  
44232 24410  33973 16123  24875 13449  
119002 57738  35332 23012  10075 7056  
136171 66320  24131 17530  6504 5568  
44724 25288  30887 17926  25087 11556  
128572 59786  27738 17967  8446 8766  
15073 8627  12336 8036  12319 7108  
27394 17626  19254 13369  20970 11354  
43320 25313  33198 16649  22744 11107  
14559 8712  14099 7052  12749 6382  
132884 69325  23156 16871  10610 4991  
126559 60237  29879 22735  6807 6235  
128041 55981  29707 26210  7164 6440  
112816 63201  38463 18952  12098 8328  
123397 64290  29853 13786  11163 10524  
88115 44880  42406 23522  17596 12144  
15079 7776  13262 7890  12743 6761  
76852 39627  42032 23044  21681 11765  
37469 26151  30863 17742  26209 13598  
131056 79581  30789 10083  5167 2179  
85311 48415  40837 20077  21125 10549  
26015 14455  23028 14172  20309 11220  
57843 31278  38717 21909  25728 12035  
71506 41440  36698 20577  23817 12624  
46106 23950  31186 19677  25008 12982  
103734 49411  34308 24809  16851 7602  
14410 7014  13961 7321  12560 7260  
138899 74424  23610 12957  4472 3044  
115423 67291  31665 19120  14757 4176  
90479 61054  41983 20871  20009 6575  
23244 16883  22370 12834  20712 11410  
100123 59306  43745 21078  13862 7930  
13053 7195  13053 6850  12315 5838  
58948 26456  39518 22539  25305 14012  
90727 48452  40691 25071  19928 9251  
76746 37262  40682 21065  23142 13858  
122175 62403  33576 19287  9066 6869  
68653 39531  45507 23077  18177 10507  
45488 22977  28531 18782  22114 12362  
29437 12804  25036 14822  20291 9501  
45258 21597  32127 15988  23723 13719  
133929 62762  26400 18057  5621 6323  
138244 71453  22706 17570  6245 2434  
146891 62677  14624 19263  5733 7940  
103291 49440  41357 25442  14893 11392  
108013 70846  43422 15624  12525 3979  
73897 43381  46553 23485  19476 9919  
31036 16018  24598 12132  17743 9678  
45658 22387  29193 18008  23553 12076  
112918 70214  40021 14868  10408 5497  
72936 33676  42662 24529  23192 16118  
123821 78076  29538 12041  8614 1764  
13584 8274  12466 8074  12768 6778  
138700 69550  23318 15177  5368 5608  
119114 53156  34237 28562  11230 7236  
27660 13825  23624 10965  17013 10168  
84691 43414  38224 27379  24005 11106  
12070 8246  13657 7674  11928 5898  
104424 60014  40354 18171  12979 9293  
71555 41092  39567 17829  20798 12511  
152639 74407  13429 17194  2140 543  
87555 47448  38807 15985  21772 14870  
29055 17531  23748 14279  17247 9516  
13191 7056  12827 7002  11749 4944  
82174 44430  41379 28064  21776 11622  
135381 61729  25716 20662  6195 8031  
39312 22395  31374 20145  22421 10314  
128556 51867  29297 25121  6753 8693  
136666 81731  25984 10191  5248 399  
70078 40004  38506 21893  28353 14967  
61342 43624  44568 22843  25943 12216  
26625 16476  24398 13225  15851 10461  
27880 11147  25264 14844  20442 10616  
143537 79248  19647 10485  4186 2310  
82406 52546  38895 18564  23262 12240  
11824 6204  11629 5947  12283 7252  
126251 62150  33810 22885  7253 5387  
59694 31800  29458 21245  28419 13434  
59077 30468  30409 17901  28507 14190  
39899 26376  33050 16717  20200 12998  
105477 58544  45968 27507  11066 4118  
137284 67216  24186 19702  5831 4389  
101214 48863  31642 23506  19385 11749  
153916 78087  11271 11901  3561 2136  
129002 71112  36129 19687  2869 1161  
114483 53136  34820 25381  9074 7790  
87831 39202  41725 22619  20452 15600  
71265 37328  44391 22810  23007 15140  
26649 14543  25051 11878  19109 11265  
90999 45805  40451 25569  19772 10896  
93611 52512  47098 22906  16254 11414  
15333 7327  13083 6504  12637 6158  
71647 44346  38480 21653  25349 11791  
120129 57542  34882 25899  8661 6038  
47795 27854  40250 21238  24971 13262  
97099 39152  44752 30145  13332 12026  
97229 55751  38754 24527  19740 7082  
48323 28172  40044 24043  27600 15154  
103134 47828  39130 21255  16397 14601  
96136 58027  42080 23091  16055 6236  
137945 66235  23976 19334  5264 4775  
41790 25386  34889 16959  23219 14215  
49911 29576  38421 24123  26879 14282  
94539 52163  52259 26886  14075 9904  
14089 5544  14050 7299  12031 6341  
145569 63644  15751 22868  4895 4058  
61601 33650  35599 22498  23959 8875  
41605 26495  35061 17296  23562 11499  
112695 63012  34730 22546  13406 5023  
103677 61241  34118 18303  17848 6887  
115577 55953  38617 24289  9658 8248  
14383 6292  13678 6220  12819 6496  
113994 71019  35958 14442  10161 4878  
76188 41538  36525 24145  24691 10966  
147023 85556  19732 6076  1994 575  
66158 44222  34474 20521  30988 12757  
147775 65276  15574 19475  2765 4205  
129965 59478  26217 18576  9430 9760  
45895 22410  33123 19291  21583 8502  
79492 42664  45041 20076  21641 15636  
121743 71730  27832 16732  14510 2585  
39760 23245  34759 16179  19372 14226  
141016 66652  20453 19178  5193 5277  
62111 36242  48282 25427  22807 11840  
12072 8460  11617 7554  12864 7006  
122942 65087  28651 18648  11821 6272  
136724 63527  25650 23666  4724 3099  
74306 43859  41049 18069  16007 13486  
38546 26043  25641 17630  24222 11677  
14630 6897  13922 7585  11569 4665  
85617 59411  40293 20873  26494 7607  
109564 66426  41666 17829  11361 5784  
90699 43900  42162 25107  17864 8786  
14817 8764  13345 7716  12463 7077  
99865 47838  43145 24120  15140 13023  
129304 73641  31788 15750  6024 2545  
44903 25732  28977 16880  20210 10079  
42297 18603  33050 16018  21516 14547  
119038 54761  30369 18153  13104 14060  
30624 16874  20333 14275  20173 10557  
83247 45763  47263 24670  16894 11685  
42324 26367  24538 17769  25308 12408  
40118 21202  29852 19294  20434 10193  
13467 8131  14136 7682  12305 6515  
133889 78382  28084 11531  4461 1966  
28443 17164  22819 14236  21256 10316  
57079 25999  40771 22379  24899 12975  
144999 80226  16309 9312  4810 2417  
98785 52945  37744 25439  16738 7637  
43821 26083  28616 15488  24910 11954  
28352 15317  24250 10232  18397 9623  
117807 77620  38796 11102  7987 2414  
57511 29488  40283 22586  24437 13931  
72487 41779  42658 22888  19240 10672  
70773 42778  32855 20719  27237 13290  
91398 42945  42232 24935  18026 11123  
123124 64571  31584 21162  9772 4335  
41267 26314  27386 18689  24637 10965  
84576 35420  38805 25174  22984 14264  
71981 29783  40043 19431  24431 16302  
13693 8788  11874 6941  12475 6636  
107171 58076  37729 20979  13208 8655  
38565 24418  34444 18613  23454 14205  
153500 80215  13008 8478  1643 2438  
77070 37590  38531 24142  21999 9842  
130586 63492  30067 18426  6291 7487  
77080 42897  38965 23783  27894 12294  
105916 56372  36377 21863  18757 10570  
24595 15841  20673 13420  19821 10835  
152635 72102  14615 18677  1304 943  
97923 60680  38549 21252  13841 6563  
27476 14951  23109 14660  16984 11558  
131810 78357  27805 11345  6682 1935  
129170 62826  32364 23086  4344 4517  
85518 50558  42460 24059  22138 9439  
29455 16991  25591 13313  15787 11242  
12295 8738  10219 7656  10565 6961  
90641 53071  35967 21177  25854 12062  
27131 15087  22596 12756  20059 10860  
98762 60012  44537 19823  13968 8253  
22526 13130  25987 13440  19051 9221  
63363 43562  34790 20883  20194 12019  
133014 72642  24125 13234  6799 4985  
144433 74110  16694 11357  4358 3656  
28268 17709  22976 13172  19454 11513  
13676 7777  14028 6720  11083 7456  
37806 26161  28636 18484  21469 12217  
107891 66686  36322 15182  18147 7678  
40586 24819  26146 14140  19720 13742  
57470 26276  39560 19956  25565 15174  
45557 30542  33208 18664  29642 16384  
79950 63441  52247 20588  21479 6288  
105713 60680  38313 18037  15743 8533  
29305 12889  25362 12823  20339 12511  
43727 24730  34163 16383  22952 12355  
148945 71591  12428 11769  6552 7273  
60675 42487  42261 23594  28896 12464  
58223 32865  39030 19156  26094 13969  
134361 87252  27288 3895  5713 1176  
46506 23494  31596 16104  21689 14895  
114014 68868  36505 16379  10519 4376  
39516 25638  34466 18170  23475 13737  
123595 87395  33447 4287  5556 489  
113223 55887  38767 22421  8119 7530  
135354 87106  25261 4424  6554 749  
96825 62130  46147 17194  15332 8690  
24651 17278  22426 13175  17873 11610  
45407 22407  32046 18795  23737 13330  
127515 79935  29322 10060  8007 2005  
28977 12683  25637 13905  20270 12348  
147667 82464  18491 8569  1713 872  
82019 47029  42448 22690  21687 12173  
95067 51055  46430 24336  12805 10041  
128429 70041  30637 15255  4723 4691  
82619 44606  39948 20867  24584 14631  
77781 56763  41619 17737  20420 10717  
116675 63241  28446 18664  14387 5642  
118712 63082  25619 18411  18661 9071  
76754 41239  43092 25928  25197 13875  
92086 54956  38035 20883  13971 9573  
11366 8536  11883 7957  12871 7159  
88193 48075  38726 20468  20991 13478  
130694 54680  28908 24961  7385 10333  
120074 85205  37145 6752  8244 360  
112454 80555  44296 11320  8324 382  
28326 17761  25160 13018  18692 9805  
79520 45668  32364 24600  30870 11611  
104389 50209  32633 23048  16234 11255  
12076 7864  11772 8044  12724 6738  
98006 56192  37060 19664  24258 11902  
120440 69266  29502 17247  10776 4176  
13558 8069  13542 6488  12736 7058  
77625 47073  37575 20416  25292 10000  
140032 58846  23601 24653  2640 5747  
74460 51567  42464 23260  28250 9758  
134201 71665  21646 16449  8885 3330  
68706 42039  45002 23263  24859 11035  
103141 44266  39381 25869  15371 10965  
76068 55526  46967 21658  23379 9928  
98654 70020  41268 16917  19493 4088  
13815 8740  9849 7317  9408 6521  
