# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
79183 51945  45581 20621  20646 11398  11627 4654  
107983 71000  31251 14621  21258 5074  4067 1178  
138715 75502  23477 12893  5157 2529  1273 1171  
107073 58218  35254 23010  16375 5802  5917 2611  
75660 35183  39058 20004  23970 16817  13295 8541  
114574 64146  27161 16205  17085 8463  8137 2762  
24371 15937  23370 13334  16297 11684  18309 9778  
56921 34126  37707 22342  25359 10856  15261 7074  
104130 54693  47984 26947  12933 7931  2527 1936  
30205 16130  23172 13829  20875 10773  13891 9683  
55438 35540  39582 21202  27086 11832  17011 8109  
13767 7171  12265 6587  11602 6218  11084 5567  
13330 7598  13846 6606  10901 5447  11630 6833  
42881 24525  33462 17252  24917 12170  18243 9710  
126642 85877  30324 5822  7442 402  3280 178  
51303 33577  42994 21373  26427 13406  13212 6727  
65077 41394  44146 18916  24235 12906  15192 8869  
71648 46941  46266 24381  26511 10828  6953 4989  
12952 8664  9548 7472  10630 6588  11104 5483  
125490 52281  31663 24946  6927 9148  2696 3358  
55339 27287  31382 21068  27598 13022  18250 10140  
30282 14557  25140 14289  20774 10924  15979 7444  
116885 70199  35551 16646  12342 4653  3262 720  
28359 17236  20463 12743  19308 11983  12559 8704  
37406 24805  27060 15163  22209 12865  16605 8109  
139425 73665  21198 16156  6462 2103  1349 347  
107463 55447  36297 18616  14383 10585  6581 5107  
25671 17554  24652 14070  18999 10496  18247 8962  
22218 12310  22940 12453  18107 11456  18110 10286  
13334 7590  12938 8097  12325 6553  9858 6295  
135180 51055  28734 33225  3288 5869  1212 1549  
39261 21837  32192 14376  22912 13989  20047 10354  
89569 65528  52391 20516  12388 4117  7577 1266  
60645 32534  34957 18521  23982 11150  16804 10039  
56349 35389  41193 18595  25733 14126  12906 9112  
45616 32604  39056 22499  29214 14204  14476 8158  
13997 6631  13683 7579  11172 6704  11035 6120  
139358 88394  18228 3101  7667 675  1778 108  
148673 72754  18102 18032  1395 1270  582 247  
43042 25286  27393 15054  22719 12193  19462 9080  
14793 6425  13539 6522  12652 6161  11327 6881  
13628 7060  13707 6233  11500 5936  10951 6163  
114362 84415  33605 6757  15813 1090  4466 76  
102036 60634  40850 19376  14985 7336  6287 2520  
107650 58108  36885 25633  13931 4673  7566 2732  
59525 42765  38403 20381  20974 12653  19006 7883  
107032 71981  37842 16601  17780 3264  3481 298  
111853 70730  36813 14718  9297 4757  7316 1318  
124073 65166  31848 19996  8641 4276  2914 2147  
30419 14249  25394 13699  19790 12217  16038 9873  
116176 60552  32575 16484  9161 8634  7357 4908  
40758 32152  36901 18713  21415 14429  18384 9204  
100841 50279  41341 24156  16448 11442  6366 3644  
145254 77117  17787 14002  4119 952  1380 231  
72817 52235  51222 22633  22343 9408  11351 4620  
63714 44044  43331 22530  24655 11720  13460 6642  
114290 59509  31858 21812  14977 7755  5139 2440  
84268 39666  43056 25538  22332 14805  9971 6960  
29802 16146  20695 14450  15766 10525  17888 6912  
44878 20034  33679 19922  23794 11496  18012 10501  
144803 85033  14153 5392  4301 1459  3958 332  
104288 45937  39774 24832  14268 11449  6562 6047  
104541 48796  37963 20341  16476 13937  4804 4857  
46201 25223  31277 18827  24815 11841  18080 9682  
90491 40961  39684 24350  20717 14325  9486 6523  
91768 58898  48842 21333  14396 7988  7302 2750  
15111 8653  13203 6389  9691 7117  8516 6377  
77343 40141  40464 22364  22235 12760  12895 7674  
37750 20490  29042 19422  22883 12389  15770 9773  
78214 39934  37531 21971  26896 17027  10460 6461  
73150 33016  42375 27315  20876 13342  14047 7051  
63833 48649  51968 25209  20865 8149  12747 5543  
12803 7238  13236 7244  11796 6461  10705 6826  
88167 50683  45762 27356  20258 9536  8152 2226  
70275 40226  39850 20116  24013 12732  13218 8519  
67091 38094  37462 25556  29383 12806  15837 6575  
101123 48744  42438 24358  14739 11495  6124 4702  
99710 72485  42633 16097  17481 2578  6810 1014  
121788 68086  33231 17714  8995 4408  2844 1559  
58596 24877  39915 22475  25121 16759  15024 9071  
46339 32445  38693 22490  22020 10809  15298 9427  
57632 28561  33884 18265  23873 15567  19308 10922  
137078 64510  24291 19247  5762 7244  1421 1128  
107180 59637  38453 17993  12548 9469  6673 2716  
107849 70647  44022 16007  11599 3597  3791 1366  
24536 14081  21673 12079  22048 12167  16095 10113  
20925 15986  20070 14143  18100 11522  15282 8645  
123566 67977  25930 18682  15275 4292  2041 1013  
46279 22593  29938 17427  24020 12543  18783 10313  
98389 69858  45693 16708  14347 4365  5974 1058  
75906 39865  42008 20496  22583 14130  11555 8520  
70730 56143  57488 23318  24129 8475  9481 2959  
149203 68441  15080 19951  2253 2502  1932 1201  
115806 63605  37373 16910  10286 7021  3239 2667  
116930 57195  28873 21478  14076 10013  6542 2370  
121318 59270  30827 23836  11152 5279  2903 1785  
91905 46752  41965 24307  17207 11992  9235 5148  
61690 32750  38850 20075  24216 14590  14973 8711  
45437 25317  33882 17984  21640 14029  18497 8504  
56927 34001  40597 19052  22687 11927  15348 10239  
15464 8102  13536 6793  12814 6573  10854 4988  
103763 56921  38673 16905  16640 11850  5087 3777  
102003 57353  38619 23490  14202 7199  7167 2682  
76454 52697  37167 20822  27637 10236  14920 4778  
14233 6924  13202 7879  12796 6089  11712 6492  
127643 65871  25430 19310  8649 5323  4916 1493  
54030 33138  39307 22702  24954 10993  16634 9779  
13959 8761  10202 7469  11990 7298  11916 5904  
102929 70387  45380 16588  10911 3900  4756 949  
154055 76123  12894 15326  1666 768  322 97  
81716 53313  44693 20394  22026 10079  9197 4755  
82452 52970  48264 22401  18916 7957  8971 5566  
100791 41290  40742 27218  16960 13855  6181 5351  
13159 8570  12900 8052  11149 7245  8571 6118  
45291 25989  29042 17540  24203 13516  16804 10138  
71081 30391  42449 28336  24823 13958  13813 8646  
35934 23362  32401 19817  21851 12301  19101 10622  
74246 52342  50078 21996  20631 10336  11370 3976  
57855 29722  39731 23213  25661 12426  15786 9530  
99659 50300  30649 21136  20828 13222  7800 3733  
49612 30451  35208 23473  26152 14522  19462 9172  
55351 32411  35528 22878  25967 13630  18216 7050  
96849 62235  38944 19672  19394 6751  7574 2345  
127604 77247  33479 13096  5689 1585  1774 328  
86101 51567  43610 22479  18316 9195  8311 4009  
27186 17187  23024 11646  21543 11260  11863 9296  
135153 73912  21663 16541  7961 1148  2488 479  
105493 58997  40703 20769  10175 7418  8537 3854  
30197 16085  24094 10759  20100 10574  16570 7869  
129595 68564  31073 15829  6662 6594  1283 1076  
117286 70082  34375 16009  12416 4117  3255 1556  
58375 35267  37730 20365  24960 13624  17420 8296  
137248 68005  25624 19000  4770 4088  985 852  
47541 26545  40800 21790  21797 15346  20246 9464  
62334 34983  35735 25629  29642 14688  13458 6835  
92524 46436  37868 25204  18923 9109  10479 6144  
14624 8820  12212 8018  12752 6304  10095 5958  
56734 25049  38735 21553  21861 13831  18551 10479  
139215 68814  23170 17646  4993 3885  1004 1007  
