# NumberOfHospitals NumberOfScenarios TimeHorizon
2 200 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
79183 51945  45581 20621  20646 11398  11627 4654  
107983 71000  31251 14621  21258 5074  4067 1178  
138715 75502  23477 12893  5157 2529  1273 1171  
107073 58218  35254 23010  16375 5802  5917 2611  
75660 35183  39058 20004  23970 16817  13295 8541  
114574 64146  27161 16205  17085 8463  8137 2762  
24371 15937  23370 13334  16297 11684  18309 9778  
56921 34126  37707 22342  25359 10856  15261 7074  
104130 54693  47984 26947  12933 7931  2527 1936  
30205 16130  23172 13829  20875 10773  13891 9683  
55438 35540  39582 21202  27086 11832  17011 8109  
13767 7171  12265 6587  11602 6218  11084 5567  
13330 7598  13846 6606  10901 5447  11630 6833  
42881 24525  33462 17252  24917 12170  18243 9710  
126642 85877  30324 5822  7442 402  3280 178  
51303 33577  42994 21373  26427 13406  13212 6727  
65077 41394  44146 18916  24235 12906  15192 8869  
71648 46941  46266 24381  26511 10828  6953 4989  
12952 8664  9548 7472  10630 6588  11104 5483  
125490 52281  31663 24946  6927 9148  2696 3358  
55339 27287  31382 21068  27598 13022  18250 10140  
30282 14557  25140 14289  20774 10924  15979 7444  
116885 70199  35551 16646  12342 4653  3262 720  
28359 17236  20463 12743  19308 11983  12559 8704  
37406 24805  27060 15163  22209 12865  16605 8109  
139425 73665  21198 16156  6462 2103  1349 347  
107463 55447  36297 18616  14383 10585  6581 5107  
25671 17554  24652 14070  18999 10496  18247 8962  
22218 12310  22940 12453  18107 11456  18110 10286  
13334 7590  12938 8097  12325 6553  9858 6295  
135180 51055  28734 33225  3288 5869  1212 1549  
39261 21837  32192 14376  22912 13989  20047 10354  
89569 65528  52391 20516  12388 4117  7577 1266  
60645 32534  34957 18521  23982 11150  16804 10039  
56349 35389  41193 18595  25733 14126  12906 9112  
45616 32604  39056 22499  29214 14204  14476 8158  
13997 6631  13683 7579  11172 6704  11035 6120  
139358 88394  18228 3101  7667 675  1778 108  
148673 72754  18102 18032  1395 1270  582 247  
