# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
90011 154615  48090 64713  18881 40597  8668 16987  4982 8384  
70121 104856  48768 82671  25381 36426  11278 24930  7965 14855  
117414 210697  39058 47186  14505 30570  2705 3343  637 645  
83260 129892  34865 73525  23944 40453  13315 21913  9208 10986  
76102 140685  53067 82710  20777 37238  9879 13037  5632 6599  
158277 245380  12634 39909  2451 4397  1072 2639  129 358  
16574 24836  14042 21354  10958 18054  11215 21185  11464 17591  
165205 219965  8482 59689  904 12060  20 796  0 234  
145004 213944  23872 62992  3425 8314  1119 3410  866 2586  
66295 94312  37742 73410  23885 30832  16570 33749  9965 19266  
163754 267050  9960 22177  883 3045  15 497  2 121  
68013 131362  41013 69249  26039 38770  17449 22456  10367 14089  
71707 134715  46579 68881  25314 40931  11841 20914  7981 12405  
80312 147655  49844 80917  23101 35628  11448 13894  5037 6395  
13882 23533  14445 25042  12969 17319  10897 19036  9607 16672  
134123 196005  30360 70766  7332 16559  1984 6238  519 2195  
37866 58655  31795 56448  24512 35879  21987 35547  13927 20016  
147058 230455  19843 44855  4893 11361  2290 3964  372 1458  
16589 25659  14647 24476  13793 19899  12494 18987  10080 18732  
133766 194322  26157 59302  10731 23108  2670 9534  699 2941  
62235 100632  39016 62887  25865 48260  15330 19386  9539 20415  
142127 255480  24364 33489  5612 2982  1557 706  659 193  
36806 77084  34686 59486  26304 43259  20046 28995  14326 23033  
11327 24403  14515 24727  12817 22375  11336 20057  8530 16990  
143832 199761  25814 63051  3447 14422  1014 9238  286 3370  
11881 25199  14447 24586  12172 21572  12074 19162  10311 17611  
41380 80087  36174 55089  24871 43104  16588 30579  15439 22652  
100999 150807  38354 70063  19609 35416  7759 20420  4114 7454  
113381 176685  29193 54107  19931 34495  5411 10763  4285 10145  
96627 142026  44949 78384  17595 35650  7780 18660  3956 8916  
33354 50134  24032 45043  22072 29839  16579 31178  14747 20628  
100575 146150  36791 51113  19900 53211  8552 20878  4709 9191  
102815 182569  44642 70224  16370 24355  5402 8787  2946 3854  
109509 213070  45245 57654  12977 15322  5075 4866  1074 1184  
125948 207413  35201 59435  7010 16357  4197 5418  1123 2073  
48548 78046  33193 58714  22355 40230  19550 29212  11042 18494  
57034 67660  36694 54330  25003 42544  21082 38007  10914 21445  
31564 50115  26758 41363  18160 33575  18903 28754  14659 24844  
56454 83383  44009 75712  26777 42349  17179 32159  11314 19649  
66684 119176  45882 73907  20268 33390  15584 27767  10228 12278  
56987 103430  40783 57126  21718 44850  18987 27851  13409 21334  
13406 25300  13179 23555  12684 18602  11845 20935  7784 13431  
33698 50368  25399 42443  20919 32173  15982 25685  13429 26289  
66217 127055  44438 62549  27950 41965  15969 24945  8501 15013  
30151 41066  24308 39237  21502 36335  18446 27601  15022 27007  
50568 74030  31552 40737  25576 49368  19203 34376  12813 26051  
55550 107255  41715 64945  27413 44468  17597 27716  12039 17083  
57645 85200  43716 62200  22745 48630  15301 31015  12446 22495  
168649 250775  5251 34610  624 7105  85 377  5 33  
112832 165708  44965 88238  12227 24261  3325 8550  589 2734  
24916 40672  26976 45530  19626 36344  18623 29497  13840 22797  
124531 226160  42220 53400  5920 8990  1405 2662  355 1311  
132674 182457  26587 49901  11709 39971  2384 12679  922 5794  
161304 248979  12838 39405  430 3330  27 849  16 209  
142810 204113  27545 63832  3611 20108  431 3512  146 986  
39774 79309  36965 56799  22537 40083  20111 31957  14784 22034  
129121 204251  36228 60599  7861 20534  920 3965  274 1807  
16213 24822  12866 18427  13821 20624  9713 15987  9204 13645  
94235 154013  45987 72773  16725 32571  7479 16531  4180 7647  
124893 207850  37097 62227  9608 13863  2296 5897  406 1473  
80173 131996  45114 65558  22246 43502  10136 20936  7191 14281  
43264 71570  35667 50033  23770 46489  18481 33485  13563 20588  
117870 232406  40920 47068  11579 8136  2542 2828  745 892  
15589 21768  13923 24668  13315 20770  10881 15533  9922 14298  
142711 202149  27207 60846  3941 24636  630 3631  72 960  
49925 77254  34862 59475  24261 39588  18659 29802  11170 23791  
117396 173881  38627 70830  12346 30240  3603 8000  1665 4706  
79016 136215  36670 67711  26873 40994  14494 22008  7822 11218  
45219 72021  36068 60714  26359 39608  14052 27425  14898 24888  
106342 181325  43574 70749  13478 25557  5697 8348  3473 4402  
50590 74706  34915 59280  23365 37888  17259 31346  13473 21879  
110690 186183  42575 62511  14394 26569  4513 10816  1535 4233  
43185 74086  35951 55182  22313 42242  15769 30540  16143 24726  
29049 41970  27719 43228  21360 38122  16250 25058  13272 22445  
99004 134791  43657 78048  18380 42281  7536 15951  2989 10542  
32881 51061  25786 43035  20469 34261  15709 18461  13588 24928  
74385 98433  43998 73959  26549 48110  10894 24916  8838 17743  
131888 155825  36061 96698  5482 28102  995 8132  128 2300  
54678 106195  38166 67459  23603 40451  18478 28147  13313 18029  
159136 254457  14437 31442  1024 5733  18 1152  0 84  
106523 184603  36713 55869  19579 34249  6783 9336  2974 5765  
15809 26915  14862 21257  12387 17740  12683 19374  9558 18483  
28914 49669  26802 44939  20951 36754  18249 28251  13813 24662  
69054 128419  39149 73073  26684 39017  14977 23188  8539 9756  
133419 191432  29006 45985  9623 36209  2046 12878  341 2933  
65236 111794  42941 81092  20696 31030  20058 30862  7969 11294  
45036 72299  36186 54609  25768 45759  18176 23948  11631 19324  
14718 26890  14427 24714  13497 21673  11540 18618  11215 17875  
122563 237675  42535 45072  6566 7782  2067 1780  657 402  
134270 256193  33471 28984  5916 6404  771 813  141 345  
119489 216437  36671 46667  13652 19474  2539 6158  1534 2321  
43961 64413  32580 56365  27123 45728  17536 33212  14540 22401  
28301 49464  24731 36755  20402 36347  17941 24337  15494 26662  
16656 25329  13189 16745  11918 21347  11288 13870  10833 19966  
42342 75036  37685 55006  25484 43087  18226 33410  10985 20235  
80211 115161  45261 71220  23442 41801  11882 22706  6519 16342  
81096 105295  43861 73891  23424 50941  12397 26138  5903 11858  
94814 141414  45209 77618  15513 34826  8904 11843  4680 9312  
119235 221391  46315 55509  4924 8654  2889 5936  1017 1045  
115296 177929  33852 70046  17170 26776  5580 10752  1812 4332  
128475 213388  35609 52441  8080 18184  1811 6386  385 1777  
133095 202149  29341 66612  8992 15177  2007 6427  842 1428  
105491 186786  46192 65120  14915 24885  5010 10109  1969 3686  
47389 74145  32719 46885  22541 44733  17595 24646  13969 28109  
100994 140640  39307 85434  20078 38244  7568 12494  3447 6563  
110701 190458  36907 56694  13295 23695  9147 13706  2315 5250  
39677 61314  35348 49050  25536 42863  20462 37317  12507 25773  
131381 210355  32505 58825  7621 17102  1836 4662  887 1250  
30798 52657  27080 41970  20711 34336  17464 30251  13532 22874  
146700 215992  23847 56660  3479 15132  393 2146  98 1413  
132278 256982  36434 25944  5097 8285  504 957  217 418  
49453 80086  35390 53388  22999 43911  18727 27031  12746 20593  
110936 159177  42719 90608  14652 25515  3562 8623  1654 3362  
27342 45484  26764 36456  21379 39157  15806 30467  13940 23219  
85628 144421  50859 75625  17431 28724  9809 18841  5847 13877  
83840 121237  40270 79964  21354 32443  12108 22241  8115 15968  
106834 223038  55935 54253  8713 10084  1565 2781  1054 1643  
99609 131986  42768 64354  20806 51419  4700 18084  3165 10978  
109243 173831  43264 75470  10975 19983  6007 14042  2320 3720  
26959 49047  24679 40256  15756 27478  17384 32335  14873 23369  
114967 212260  42019 59076  13118 15492  2950 4217  932 1138  
63959 80685  42355 66871  24875 39383  16458 32142  10285 24188  
126273 183784  40862 86031  4792 15768  1920 3950  588 2341  
81811 106271  41565 61674  24565 54130  12491 30143  6347 15463  
159472 234857  14204 48055  701 5140  195 4401  39 390  
30624 39866  26741 44676  20417 34218  17203 30705  13370 22893  
30907 53548  25677 44405  21512 35596  17166 27611  14417 24014  
105086 190039  34425 55166  21146 27706  6646 12220  4293 4914  
111460 214081  42617 55916  12114 14428  4707 4528  2712 2875  
109218 163412  37442 69678  15707 27967  7884 20301  2441 5119  
43374 79531  37144 57978  21021 41226  20812 30532  10400 21030  
145783 240419  22206 42811  5664 6737  649 2340  232 372  
75452 132984  44405 72721  21135 35766  14773 23664  7064 10553  
143885 238196  21995 44325  8146 8137  477 1458  87 607  
117392 203966  39281 63480  11011 17085  4150 5378  1677 1545  
108518 190964  34312 62682  17100 23400  8358 9582  3969 3887  
117812 204559  35849 54970  11078 19917  4423 6469  3759 4425  
33184 52590  22975 41360  19822 36274  15964 29803  13440 18932  
95999 159246  36165 72525  21654 27456  10473 17985  5417 8603  
168664 250163  5332 38819  548 3045  73 786  1 66  
114359 184963  34925 68207  16781 23201  5215 10588  2039 3757  
97412 187811  47901 65626  17064 22006  7962 10483  2588 3754  
33319 46900  25155 38198  19993 25669  17856 31114  13748 27539  
75627 135521  36703 59709  28060 44186  15279 24686  8041 13254  
53422 101351  38425 69551  29950 43910  15948 26044  13387 16601  
14249 25630  15442 23216  13404 22448  11546 20447  9462 15421  
47098 69084  35514 59714  22208 40640  19298 32493  14505 22295  
14735 27062  13821 23421  12144 21016  11912 20119  11626 17770  
98726 128134  48443 79052  15933 37987  7082 23742  2234 11218  
13158 26381  12353 23942  11974 20293  11451 20494  10847 18619  
162052 237646  11331 45161  909 7775  202 1096  82 689  
41697 69492  28142 50340  28301 37506  19288 37434  13341 19097  
148383 258840  19157 22688  6809 10200  246 984  10 148  
16415 25966  11903 20100  12599 15932  12723 19008  11409 16798  
66037 106360  35616 60282  27711 43136  17349 29084  10637 19228  
133664 224660  24294 38193  11030 22819  3990 5464  1307 1219  
31973 52288  26326 41219  18706 33357  18721 27733  13614 22463  
64617 104821  36204 63166  26887 37955  17737 31171  9562 15495  
101824 188658  46844 65373  12499 23294  7726 9707  2800 3334  
